step,node,omega_dimless,phi,spin,omega_obs_Hz,phi_obs_rad
1500,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1500,3,0.06706915,4.189477893270,1,-1.352750e+23,-2.093707413909
1550,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1550,1,-0.06421519,6.282490071392,1,-1.543112e+23,-0.000695235787
1550,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1550,3,0.06421519,4.189485440574,1,-1.356888e+23,-2.093699866606
1600,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1600,1,-0.06135503,6.282483233553,1,-1.538965e+23,-0.000702073627
1600,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1600,3,0.06135503,4.189492278413,1,-1.361035e+23,-2.093693028766
1650,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1650,1,-0.05848863,6.282477075860,1,-1.534809e+23,-0.000708231319
1650,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1650,3,0.05848863,4.189498436106,1,-1.365191e+23,-2.093686871074
1700,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1700,1,-0.05561598,6.282471568674,1,-1.530643e+23,-0.000713738505
1700,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1700,3,0.05561598,4.189503943292,1,-1.369357e+23,-2.093681363888
1750,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1750,1,-0.05273702,6.282466682033,1,-1.526469e+23,-0.000718625146
1750,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1750,3,0.05273702,4.189508829933,1,-1.373531e+23,-2.093676477247
1800,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1800,1,-0.04985173,6.282462385660,1,-1.522285e+23,-0.000722921519
1800,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1800,3,0.04985173,4.189513126306,1,-1.377715e+23,-2.093672180874
1850,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1850,1,-0.04696008,6.282458648967,1,-1.518092e+23,-0.000726658213
1850,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1850,3,0.04696008,4.189516862999,1,-1.381908e+23,-2.093668444180
1900,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1900,1,-0.04406204,6.282455441055,1,-1.513890e+23,-0.000729866124
1900,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1900,3,0.04406204,4.189520070911,1,-1.386110e+23,-2.093665236269
1950,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
1950,1,-0.04115758,6.282452730728,1,-1.509678e+23,-0.000732576452
1950,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
1950,3,0.04115758,4.189522781238,1,-1.390322e+23,-2.093662525942
2000,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2000,1,-0.03824666,6.282450486488,1,-1.505458e+23,-0.000734820692
2000,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2000,3,0.03824666,4.189525025478,1,-1.394542e+23,-2.093660281701
2050,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2050,1,-0.03532927,6.282448676545,1,-1.501227e+23,-0.000736630635
2050,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2050,3,0.03532927,4.189526835421,1,-1.398773e+23,-2.093658471758
2100,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2100,1,-0.03240537,6.282447268823,1,-1.496988e+23,-0.000738038356
2100,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2100,3,0.03240537,4.189528243143,1,-1.403012e+23,-2.093657064037
2150,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2150,1,-0.02947494,6.282446230964,1,-1.492739e+23,-0.000739076216
2150,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2150,3,0.02947494,4.189529281002,1,-1.407261e+23,-2.093656026177
2200,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2200,1,-0.02653796,6.282445530333,1,-1.488480e+23,-0.000739776847
2200,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2200,3,0.02653796,4.189529981633,1,-1.411520e+23,-2.093655325546
2250,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2250,1,-0.02359439,6.282445134025,1,-1.484212e+23,-0.000740173155
2250,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2250,3,0.02359439,4.189530377941,1,-1.415788e+23,-2.093654929239
2300,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2300,1,-0.02064421,6.282445008873,1,-1.479934e+23,-0.000740298307
2300,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2300,3,0.02064421,4.189530503093,1,-1.420066e+23,-2.093654804086
2350,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2350,1,-0.01768741,6.282445121450,1,-1.475647e+23,-0.000740185730
2350,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2350,3,0.01768741,4.189530390516,1,-1.424353e+23,-2.093654916663
2400,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2400,1,-0.01472396,6.282445438081,1,-1.471350e+23,-0.000739869099
2400,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2400,3,0.01472396,4.189530073885,1,-1.428650e+23,-2.093655233294
2450,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2450,1,-0.01175384,6.282445924845,1,-1.467043e+23,-0.000739382335
2450,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2450,3,0.01175384,4.189529587121,1,-1.432957e+23,-2.093655720058
2500,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2500,1,-0.00877703,6.282446547586,1,-1.462727e+23,-0.000738759594
2500,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2500,3,0.00877703,4.189528964380,1,-1.437273e+23,-2.093656342799
2550,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2550,1,-0.00579351,6.282447271918,1,-1.458401e+23,-0.000738035261
2550,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2550,3,0.00579351,4.189528240048,1,-1.441599e+23,-2.093657067132
2600,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2600,1,-0.00280326,6.282448063235,1,-1.454065e+23,-0.000737243945
2600,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2600,3,0.00280326,4.189527448731,1,-1.445935e+23,-2.093657858448
2650,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2650,1,-0.00004628,6.282448886715,1,-1.450067e+23,-0.000736420465
2650,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2650,3,0.00004628,4.189526625251,1,-1.449933e+23,-2.093658681928
2700,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2700,1,-0.00004631,6.282449714201,1,-1.450067e+23,-0.000735592978
2700,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2700,3,0.00004631,4.189525797765,1,-1.449933e+23,-2.093659509415
2750,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2750,1,-0.00004635,6.282450540758,1,-1.450067e+23,-0.000734766421
2750,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2750,3,0.00004635,4.189524971208,1,-1.449933e+23,-2.093660335972
2800,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2800,1,-0.00004639,6.282451366388,1,-1.450067e+23,-0.000733940792
2800,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2800,3,0.00004639,4.189524145578,1,-1.449933e+23,-2.093661161601
2850,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2850,1,-0.00004642,6.282452191089,1,-1.450067e+23,-0.000733116090
2850,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2850,3,0.00004642,4.189523320877,1,-1.449933e+23,-2.093661986303
2900,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2900,1,-0.00004646,6.282453014865,1,-1.450067e+23,-0.000732292314
2900,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
2900,3,0.00004646,4.189522497101,1,-1.449933e+23,-2.093662810079
2950,0,1.00000000,0.000000000000,1,0.000000e+00,0.000000000000
2950,1,-0.00004650,6.282453837716,1,-1.450067e+23,-0.000731469463
2950,2,-0.00000000,2.094395102393,1,-1.450000e+23,2.094395102393
