i,curv
878,1173.0
879,492.0
880,1370.0
881,212.0
882,24.0
883,81.0
884,343.0
885,63.0
886,1088.0
887,3173.0
888,323.0
889,2418.0
890,688.0
891,4091.0
892,3995.0
893,38.0
894,10.0
895,148.0
896,2620.0
897,577.0
898,3494.0
899,1055.0
900,4253.0
901,3195.0
902,5.0
903,43.0
904,253.0
905,1787.0
906,524.0
907,2877.0
908,43.0
909,38.0
910,1697.0
911,279.0
912,1699.0
913,1560.0
914,332.0
915,3370.0
916,302.0
917,295.0
918,516.0
919,3588.0
920,31.0
921,399.0
922,2625.0
923,2.0
924,84.0
925,2063.0
926,216.0
927,1166.0
928,4738.0
929,151.0
930,0.0
931,1175.0
932,3215.0
933,2959.0
934,973.0
935,2691.0
936,517.0
937,3194.0
938,1140.0
939,684.0
940,819.0
941,36.0
942,1589.0
943,1219.0
944,67.0
945,2995.0
946,40.0
947,1164.0
948,251.0
949,3303.0
950,350.0
951,37.0
952,4370.0
953,213.0
954,3961.0
955,7.0
956,992.0
957,390.0
958,1687.0
959,2459.0
960,2960.0
961,21.0
962,0.0
963,278.0
964,971.0
965,872.0
966,4167.0
967,1715.0
968,305.0
969,45.0
970,3995.0
971,1079.0
972,0.0
973,355.0
974,1555.0
975,642.0
976,70.0
977,38.0
978,230.0
979,4.0
980,1331.0
981,601.0
982,69.0
983,765.0
984,540.0
985,4881.0
986,291.0
987,119.0
988,3182.0
989,0.0
990,1118.0
991,0.0
992,490.0
993,1606.0
994,454.0
995,4.0
996,739.0
997,70.0
998,878.0
999,0.0
1000,1140.0
1001,1093.0
1002,2894.0
1003,3933.0
1004,281.0
1005,224.0
1006,52.0
1007,37.0
1008,1.0
1009,229.0
1010,535.0
1011,615.0
1012,1426.0
1013,2894.0
1014,1672.0
1015,132.0
1016,223.0
1017,10.0
1018,2063.0
1019,771.0
1020,2.0
1021,1926.0
1022,0.0
1023,933.0
1024,26.0
1025,111.0
1026,857.0
1027,0.0
1028,944.0
1029,629.0
1030,1475.0
1031,911.0
1032,1318.0
1033,8.0
1034,871.0
1035,322.0
1036,822.0
1037,1458.0
1038,825.0
1039,0.0
1040,2432.0
1041,724.0
1042,6.0
1043,4224.0
1044,266.0
1045,4164.0
1046,35.0
1047,3558.0
1048,0.0
1049,466.0
1050,1604.0
1051,1868.0
1052,976.0
1053,135.0
1054,1236.0
1055,471.0
1056,158.0
1057,0.0
1058,48.0
1059,73.0
1060,249.0
1061,2206.0
1062,279.0
1063,1136.0
1064,3378.0
1065,186.0
1066,576.0
1067,655.0
1068,1167.0
1069,2469.0
1070,1439.0
1071,127.0
1072,1960.0
1073,0.0
1074,97.0
1075,4282.0
1076,697.0
1077,2937.0
1078,4221.0
1079,3004.0
1080,682.0
1081,3309.0
1082,531.0
1083,2679.0
1084,364.0
1085,2031.0
1086,24.0
1087,3201.0
1088,296.0
1089,111.0
1090,54.0
1091,3351.0
1092,281.0
1093,1896.0
1094,0.0
1095,2436.0
1096,892.0
1097,2247.0
1098,0.0
1099,2398.0
1100,94.0
1101,6.0
1102,988.0
1103,8.0
1104,705.0
1105,1987.0
1106,607.0
1107,0.0
1108,15.0
1109,1190.0
1110,336.0
1111,2179.0
1112,916.0
1113,371.0
1114,452.0
1115,4545.0
1116,1456.0
1117,4728.0
1118,3.0
1119,0.0
1120,11.0
1121,0.0
1122,0.0
1123,1821.0
1124,116.0
1125,212.0
1126,172.0
1127,74.0
1128,135.0
1129,2781.0
1130,1217.0
1131,3026.0
1132,4806.0
1133,48.0
1134,3016.0
1135,214.0
1136,0.0
1137,689.0
1138,82.0
1139,3913.0
1140,1210.0
1141,1956.0
1142,1.0
1143,2283.0
1144,230.0
1145,0.0
1146,0.0
1147,1227.0
1148,0.0
1149,1638.0
1150,14.0
1151,254.0
1152,4298.0
1153,665.0
1154,292.0
1155,4306.0
1156,4686.0
1157,594.0
1158,0.0
1159,190.0
1160,1168.0
1161,3022.0
1162,33.0
1163,2621.0
1164,2448.0
1165,0.0
1166,691.0
1167,1839.0
1168,33.0
1169,149.0
1170,270.0
1171,1501.0
1172,1098.0
1173,32.0
1174,3354.0
1175,5.0
1176,82.0
1177,31.0
1178,173.0
1179,1835.0
1180,193.0
1181,789.0
1182,249.0
1183,66.0
1184,5393.0
1185,70.0
1186,450.0
1187,118.0
1188,8.0
1189,3240.0
1190,305.0
1191,4012.0
1192,4584.0
1193,4506.0
1194,18.0
1195,57.0
1196,3156.0
1197,1334.0
1198,1553.0
1199,687.0
1200,1142.0
1201,226.0
1202,5.0
1203,712.0
1204,0.0
1205,581.0
1206,954.0
1207,3875.0
1208,534.0
1209,266.0
1210,787.0
1211,70.0
1212,753.0
1213,2647.0
1214,2240.0
1215,297.0
1216,0.0
1217,2707.0
1218,16.0
1219,3359.0
1220,246.0
1221,83.0
1222,3399.0
1223,576.0
1224,2464.0
1225,0.0
1226,2.0
1227,14.0
1228,3345.0
1229,1531.0
1230,165.0
1231,3492.0
1232,3427.0
1233,3249.0
1234,2999.0
1235,82.0
1236,2948.0
1237,182.0
1238,1992.0
1239,1136.0
1240,1858.0
1241,1014.0
1242,987.0
1243,199.0
1244,0.0
1245,542.0
1246,955.0
1247,326.0
1248,1346.0
1249,2294.0
1250,2647.0
1251,3627.0
1252,3942.0
1253,171.0
1254,81.0
1255,506.0
1256,3575.0
1257,2778.0
1258,122.0
1259,1484.0
1260,80.0
1261,706.0
1262,0.0
1263,163.0
1264,471.0
1265,42.0
1266,4938.0
1267,136.0
1268,2341.0
1269,456.0
1270,59.0
1271,3438.0
1272,2701.0
1273,0.0
1274,3830.0
1275,24.0
1276,343.0
1277,29.0
1278,1294.0
1279,300.0
1280,265.0
1281,290.0
1282,1052.0
1283,2965.0
1284,574.0
1285,2.0
1286,86.0
1287,62.0
1288,1055.0
1289,70.0
1290,581.0
1291,231.0
1292,156.0
1293,534.0
1294,931.0
1295,613.0
1296,31.0
1297,412.0
1298,147.0
1299,25.0
1300,1750.0
1301,168.0
1302,1595.0
1303,3609.0
1304,469.0
1305,1678.0
1306,60.0
1307,4013.0
1308,7.0
1309,113.0
1310,0.0
1311,5.0
1312,28.0
1313,1675.0
1314,2467.0
1315,507.0
1316,591.0
1317,5014.0
1318,502.0
1319,377.0
1320,3221.0
1321,72.0
1322,3486.0
1323,6.0
1324,0.0
1325,272.0
1326,808.0
1327,175.0
1328,5.0
1329,55.0
1330,8.0
1331,1069.0
1332,183.0
1333,96.0
1334,0.0
1335,122.0
1336,1302.0
1337,1702.0
1338,1590.0
1339,74.0
1340,2060.0
1341,25.0
1342,656.0
1343,32.0
1344,977.0
1345,279.0
1346,259.0
1347,961.0
1348,194.0
1349,0.0
1350,4521.0
1351,2592.0
1352,1725.0
1353,3382.0
1354,1817.0
1355,4376.0
1356,128.0
1357,56.0
1358,391.0
1359,765.0
1360,1047.0
1361,737.0
1362,178.0
1363,1991.0
1364,818.0
1365,0.0
1366,452.0
1367,81.0
1368,345.0
1369,53.0
1370,4185.0
1371,2849.0
1372,3167.0
1373,3605.0
1374,5.0
1375,3394.0
1376,0.0
1377,536.0
1378,341.0
1379,10.0
1380,179.0
1381,2161.0
1382,1465.0
1383,12.0
1384,2549.0
1385,2511.0
1386,3660.0
1387,1957.0
1388,77.0
1389,12.0
1390,702.0
1391,37.0
1392,200.0
1393,772.0
1394,0.0
1395,2011.0
1396,741.0
1397,3786.0
1398,198.0
1399,1646.0
1400,3688.0
1401,3738.0
1402,83.0
1403,277.0
1404,2254.0
1405,171.0
1406,114.0
1407,318.0
1408,3848.0
1409,65.0
1410,611.0
1411,3137.0
1412,2406.0
1413,7.0
1414,968.0
1415,28.0
1416,115.0
1417,305.0
1418,0.0
1419,2264.0
1420,1942.0
1421,1317.0
1422,984.0
1423,3597.0
1424,3064.0
1425,3237.0
1426,1277.0
1427,2778.0
1428,47.0
1429,2967.0
1430,63.0
1431,2315.0
1432,3455.0
1433,771.0
1434,63.0
1435,606.0
1436,1857.0
1437,3761.0
1438,336.0
1439,684.0
1440,13.0
1441,3368.0
1442,403.0
1443,1614.0
1444,24.0
1445,367.0
1446,45.0
1447,2262.0
1448,497.0
1449,2421.0
1450,0.0
1451,183.0
1452,63.0
1453,5268.0
1454,1726.0
1455,0.0
1456,3015.0
1457,196.0
1458,10.0
1459,94.0
1460,1101.0
1461,1235.0
1462,34.0
1463,533.0
1464,372.0
1465,2590.0
1466,673.0
1467,353.0
1468,2751.0
1469,51.0
1470,124.0
1471,1027.0
1472,2341.0
1473,264.0
1474,5355.0
1475,36.0
1476,88.0
1477,2812.0
1478,49.0
1479,28.0
1480,316.0
1481,436.0
1482,1726.0
1483,1904.0
1484,635.0
1485,3051.0
1486,1496.0
1487,72.0
1488,3869.0
1489,225.0
1490,10.0
