i,j,w,kappa,type
3,3860,0.0766590992225057,-228.30594032661892,forman
4,100,0.3936578758418006,-150.20713428588687,forman
4,272,0.08742995691209497,-182.91516525615947,forman
4,297,0.09155929405920568,-343.99536100908415,forman
4,392,0.10128179821147436,-306.7915638902521,forman
4,771,0.08622437826327738,-292.9671808719752,forman
4,815,0.6949239510144468,-134.2401849787594,forman
4,905,0.09971933009485046,-211.7457446829029,forman
4,1193,0.26520930163445344,-192.74118320180781,forman
4,1228,0.0743975126711207,-248.8077738058975,forman
4,1314,0.07058895496015055,-312.8607593696173,forman
4,1317,0.28031312399819447,-183.86595651281957,forman
4,1431,0.14801578623610137,-214.19484274300567,forman
4,1437,0.16003134832461666,-234.90498794293666,forman
4,1617,0.12518595022163512,-238.81702133805757,forman
4,1649,0.13060342674865089,-260.6155384612091,forman
4,1797,0.23234444081970343,-224.7078277416312,forman
4,1854,0.08468435900996832,-291.22313631355564,forman
4,2031,0.07988346556475179,-275.18334077406985,forman
4,2266,0.8582895939236989,-123.91709547181695,forman
4,2337,0.08399716540741285,-266.7691960313351,forman
4,2360,0.3928212579263376,-160.747150041085,forman
4,2590,0.15066217674117843,-227.8477399299053,forman
4,2793,0.2896700685308615,-206.55478015647688,forman
4,3051,0.18912003188126847,-235.15628005328,forman
4,3360,0.12834899429934415,-310.15801608769937,forman
4,3970,0.12216117646606674,-293.9048642007701,forman
5,433,0.2158171277461773,-156.7116689192409,forman
5,636,0.2320453484468955,-159.7646591579303,forman
5,660,0.07490039977957244,-295.14694141594856,forman
5,1115,0.11301580922581514,-242.42869655061418,forman
5,1152,0.0789941709228436,-241.8813147157353,forman
5,1605,0.07269796460616305,-275.48829182669215,forman
5,1880,0.11223193865658987,-242.639159875438,forman
5,2066,0.0972354108513683,-168.8448669194498,forman
5,2169,0.08257227413095931,-211.96828824848217,forman
5,2488,0.08281292279167712,-252.93703372043527,forman
5,2692,0.09941468774293485,-193.623698880862,forman
5,2993,0.6536663312314488,-108.0138282557774,forman
5,3024,0.13426681481055536,-184.4089702978522,forman
5,3028,0.07888624854754678,-198.00749034488814,forman
5,3105,0.10783863700371642,-202.90017564724536,forman
5,3420,0.1870159831987349,-164.94772106502708,forman
5,3934,0.255785476715878,-137.73388856664727,forman
5,3944,0.5903976849772424,-103.8445815701411,forman
6,56,0.11111864584562006,-279.4007523533422,forman
6,128,0.19252010688744806,-201.80377939904383,forman
6,279,0.26436895969332547,-156.56389359272939,forman
6,534,0.11154070672710782,-190.06565091316799,forman
6,547,0.30559103597385473,-192.71112019706925,forman
6,601,0.20883690063318547,-195.32034588233077,forman
6,772,0.12878927585294017,-199.49353122503905,forman
6,863,0.15898880361495085,-176.13880538428708,forman
6,1193,0.07269253908999337,-270.3186180731673,forman
6,1549,0.14384911443157924,-210.782137831726,forman
6,1797,0.09796292934704719,-279.83524511498604,forman
6,1979,0.1531647837650925,-201.5014708857018,forman
6,2097,0.07601362690300191,-215.35306781037013,forman
6,2337,0.11106950289760907,-230.07814142948996,forman
6,2361,0.26605589709767474,-184.79236802140352,forman
6,2657,0.15243880907862087,-214.8368365411659,forman
6,2695,0.35380506607397605,-151.0228930459292,forman
6,2917,0.25606218509696205,-185.92246004091572,forman
6,2924,0.20128339133594253,-145.7396083906508,forman
6,3051,0.15205552200819167,-236.1368260081143,forman
6,3244,0.07279650628677187,-296.64518835648425,forman
6,3360,0.13642229688300578,-285.9309732239974,forman
7,1564,0.11537517401457704,-43.10910604229212,forman
7,3814,0.10655451778238002,-25.16325653267866,forman
9,696,0.07673626601084478,-259.3308863382223,forman
9,847,0.4144989137381948,-147.6259018828086,forman
9,1045,0.08619674171001093,-244.69890449820275,forman
9,1207,0.23689274936721,-138.88986760702434,forman
9,1232,0.24521278130453245,-163.90808922425012,forman
9,1283,0.1751199615474082,-191.21904154059462,forman
