node,mean_kappa_forman
4549,-979595.3355365852
4615,-1053488.991587777
4719,-697447.789216948
4752,-838724.8025900554
4753,-930833.5751563326
4833,-1164016.5862176872
4973,-938443.9661448825
4975,-811168.5879907274
5026,-341831.46182519017
5038,-379404.95549905713
5105,-860154.4984036472
5108,-1253380.2885478335
5143,-821666.9808173331
5376,-414780.4403753505
5403,-787877.189836551
5434,-818183.8293967966
5443,-905335.3294336792
5476,-532607.5387444136
5562,-716186.6256509621
5574,-532418.6152835479
5627,-713880.495902777
5676,-763518.9162551959
5684,-989569.475200705
5726,-592624.7502861699
5752,-795756.6342800637
5884,-979047.8730755735
5898,-1007416.3279774063
6001,-1016126.6618190788
6136,-1094365.1679514032
6158,-365549.259266764
6159,-332642.77766714187
6199,-745424.91338894
6216,-529788.73492859
6219,-840228.3068509744
6238,-716561.5355501192
6276,-990025.0552111798
6282,-672627.7964633134
6298,-882860.2196781591
6380,-974847.8495125921
6470,-955535.6220311271
6494,-473380.3402925428
6495,-942956.1553882662
6518,-829069.1878079625
6595,-478886.39918693923
6625,-666931.4046311233
6672,-602597.0595260405
6673,-727725.6597055377
6746,-447848.1227327344
6751,-235910.44577974995
6758,-790282.4861239853
6842,-783064.2727571548
6957,-972347.0345786694
6966,-472202.92952793546
7009,-1040627.427850604
7118,-762712.5496086036
7232,-834611.9577958095
7357,-1187305.660175544
7503,-586364.9034183499
7513,-907544.4506496746
7546,-544040.7726311942
7553,-999695.9908353726
7629,-490515.4481776567
7658,-592992.5743381832
7720,-680031.3627372856
7874,-878182.4093879266
7924,-825393.796135243
7944,-917614.4180744904
7965,-278245.3788856291
8020,-672174.9735829666
8093,-478666.0659609913
8129,-706893.9976770054
8171,-681756.3455641659
8178,-473973.687116133
5,-995171.8435417034
30,-796165.6000353547
95,-628758.373824383
115,-464468.86600341805
141,-824376.8457560298
155,-947079.168062882
271,-1142443.5414879625
294,-970698.0606808274
415,-1087863.4974759128
433,-570091.792477376
440,-878308.1475868737
636,-860310.4741562809
660,-724276.3846080457
753,-695848.0789928746
900,-955704.8706330729
954,-889973.6952639258
1050,-386495.7116844692
1115,-826586.1216115975
1117,-886093.0981833903
1152,-826153.8685348445
1163,-561546.7881207588
1354,-477398.6220833198
1395,-582588.4579068787
1411,-703425.9762921515
1511,-551481.9991384983
1605,-801993.039394065
1629,-484780.96449873486
1714,-653766.4495031671
1768,-653621.8659959965
1777,-493758.81160236447
1880,-759344.9571621196
1888,-719685.8545550001
2035,-886913.3076525517
2066,-720199.3127827571
2075,-660475.0615260588
2080,-448961.98708895285
2122,-556207.7201030235
2169,-1028165.4842259852
2186,-740471.5390063155
2221,-871449.5365336854
2334,-690435.9817780433
2374,-806138.2066319564
2488,-787888.0603016518
2516,-716444.7427657959
2692,-1167140.6414879763
2698,-711119.0682774541
2699,-760912.7714112027
2760,-625764.8149914364
2821,-763574.2776348119
2902,-807693.8096877108
2921,-507328.0542373053
2993,-985233.7829699018
3024,-674554.1375458206
3028,-715141.1357764577
3066,-661847.3801707532
3081,-784721.0076803796
3101,-468773.98671268445
3105,-801210.5378665517
3133,-743529.4269022878
3177,-1095663.5778006888
3206,-563524.1776178506
3226,-491574.17390872794
3418,-771860.3206682102
3420,-746134.8436050891
3589,-519629.5481383686
3692,-938485.7869575699
3743,-715077.5126437034
3749,-842277.8477628838
3807,-692974.1848558806
3863,-812177.3732352903
3912,-1021103.4205848046
3934,-892609.7662064598
3944,-833520.9129299228
3951,-888910.8875858557
3958,-480677.6775361687
4023,-741985.6909346094
4044,-674478.2184586988
4056,-858933.8170096556
4204,-896552.4173050387
4214,-841273.0734694424
4244,-736719.4093155358
4255,-585353.5628599608
4417,-529355.7017061716
4440,-705245.4472325644
4442,-886244.40670562
4444,-524656.7946767587
4601,-370111.99399928254
4638,-584701.7736119939
4698,-595043.0324480293
4842,-867896.9877727318
4857,-832707.2816960469
4894,-700417.6246354814
4953,-985123.9602693515
5050,-824619.2269285513
5126,-841669.5962221494
5169,-556898.1926064454
5239,-530990.4833362019
5321,-798318.4510480394
5475,-623995.9951372091
5477,-812837.536241896
5546,-524117.4239940179
5583,-505682.2546045527
5591,-625249.031835915
5621,-689131.0962225426
5679,-804770.7284145763
5724,-688073.4911954297
5741,-840181.8198458826
5793,-669314.813324658
5852,-549338.3807053284
5906,-773617.2466171355
5930,-511553.7248646458
5956,-797237.9620881018
5972,-360877.7226756165
6012,-825520.7762749477
6025,-811476.8814819666
6045,-808112.2665519349
6055,-454261.37559662096
6059,-653319.0817120477
6132,-1027000.2772630649
6140,-781100.1048430327
6162,-738869.0013253462
6173,-841812.0329028089
6244,-932669.6875942668
6305,-767458.8591871097
6406,-460834.4827169489
6408,-692647.739488001
6426,-1071067.2687956444
6446,-939919.3534551925
6541,-763207.7142865956
6623,-615862.921726178
6633,-833648.1810032408
6681,-945130.0002756049
6731,-697618.62101373
6740,-826362.3457642975
6757,-886333.1784745445
6824,-733471.0558076649
6838,-796419.9800072054
6844,-792186.2754782
6867,-970273.3612744161
6869,-842899.7495868679
6882,-915435.8740441455
6930,-914074.7680241871
6950,-589147.1264468952
6958,-662918.4677941035
6959,-593793.2159844592
6987,-858590.1434123905
7026,-953895.412880087
7120,-737163.0192343631
7129,-794233.2162547432
7176,-1035821.6561136746
7281,-833853.2891162087
7335,-554319.020731506
7401,-833194.9442783048
7467,-953281.9337006994
7479,-799511.4268710014
7484,-737237.9873421646
7561,-826340.299093673
7572,-940683.7410406909
7598,-747533.628641741
7605,-715003.0855520113
7631,-630086.9387523938
7637,-754544.437878302
7666,-805732.5007177015
7778,-801740.9868426005
7804,-780255.7644048079
7816,-1059853.6656492995
7990,-627782.7247108296
8004,-824621.3192978672
8153,-755654.5975696477
8183,-830808.2540161632
279,-558728.6033221474
369,-604034.751657833
383,-966539.8524562131
554,-703993.4209935598
647,-1105324.6337410717
772,-639129.0217202234
851,-607336.0876876186
852,-528864.789210611
932,-633479.4478049006
988,-678977.4152117736
1132,-717268.6314953769
1161,-620105.4939892613
1222,-623798.9919924475
1266,-801446.321716453
1412,-495010.514549637
1620,-784432.6245977103
1786,-874548.88768657
