i,j,kappa_ollivier
128,3543,-0.0224697
155,952,-0.0817207
2588,2717,-0.157639
1078,1509,0.130506
420,2764,-0.147537
3863,3934,0.0607135
2117,2304,0.28298
336,3449,0.491387
30,2334,-0.291677
2769,2903,-0.0708067
1045,1453,0.0545345
1986,3348,-0.115836
2036,2455,0.0843411
1816,2875,0.018415
1293,3332,-0.192148
650,2143,0.109546
145,2335,-0.0300466
912,2770,0.0763189
2031,3190,-0.420419
375,3743,0.189554
193,3964,0.287704
1596,3086,0.454232
2121,2427,0.165791
231,1460,0.0766867
2791,2824,-0.454532
3574,3683,-0.138756
152,2545,-0.627521
527,3760,-0.074831
515,1607,0.0161945
2672,2795,0.0865447
1130,3048,0.0243498
273,2175,0.25847
896,3376,-0.277823
392,1647,0.426594
2631,3155,-0.0597044
1678,2173,0.178089
3155,3540,-0.427774
3021,3497,-0.409947
3344,3663,0.0780783
806,2538,0.21238
2326,3363,0.188615
1484,2807,0.00145789
1880,3101,0.0569114
1827,4064,0.392694
1097,2080,0.065938
2919,4064,-0.344657
1749,3161,0.0879278
1134,1754,-0.192107
2721,3580,0.666247
3386,4008,-0.323092
172,2207,-0.598548
3202,3754,0.161614
322,1167,-0.120394
740,1973,0.438698
3485,4042,0.510327
750,2270,-0.12864
956,3161,-0.0619875
254,2158,-0.289606
545,4045,0.172138
863,1829,-0.0240925
612,3431,-0.0368716
2571,2926,0.0339412
235,1331,0.180538
544,1943,0.25692
5,3177,0.281819
1629,2122,0.468771
1880,4013,0.0903798
2993,3951,0.0234538
1988,4066,0.0416126
1075,1234,-0.377238
89,4072,-0.252196
831,1099,0.208572
1063,2067,-0.0876858
1040,2106,0.21559
1897,3561,0.299282
216,3232,0.355427
838,2592,-0.056637
956,2135,0.0575108
3474,3506,-0.129771
2937,3934,0.101167
695,2656,0.22764
1725,2904,-0.333607
376,3521,-0.379986
2501,2714,0.442965
802,2780,-0.0201302
515,3028,0.170337
959,3723,-0.13784
489,3241,0.0554276
216,3971,-0.142512
171,3095,0.0323945
583,3415,0.0861073
1147,3774,0.228677
3008,3206,0.0722557
2726,3689,0.334954
1064,2124,-0.30143
1809,2450,0.107669
414,2692,0.203142
1984,2065,0.16333
1131,1155,0.0620822
1604,2858,0.572015
988,1207,-0.0827183
2175,2440,0.238303
2461,3130,-0.0790018
2132,3569,-0.487389
1802,3721,-0.136101
253,1447,0.060029
3044,3828,0.244581
110,3760,0.16642
1772,2062,-0.176528
1213,3812,-0.266621
3120,3190,0.00435947
904,1725,-0.126242
72,507,-0.0458627
292,4063,-0.0995628
818,2289,0.578331
2778,2834,0.00137276
2904,3614,0.183013
55,4015,0.00281813
974,2336,-0.120126
2786,3655,-0.139811
111,2083,0.290193
617,1321,0.194217
1992,2980,0.361962
2303,2505,-0.27016
1823,3094,-0.123429
1018,3244,0.110581
640,2783,0.0155329
2883,3826,-0.284882
1793,3796,-0.120961
3743,3944,0.109058
2121,3055,0.415116
292,2165,0.185405
1989,2463,0.57721
1337,2152,0.172628
1628,3043,0.194929
1256,1741,0.165193
1207,3833,-0.308839
343,3424,0.0827788
559,752,0.281646
1241,1894,-0.205423
1649,2159,-0.0253177
2143,3351,0.389045
1063,1594,-0.142112
1594,3316,0.174935
2551,3931,-0.557663
101,2775,0.0235119
1900,2999,-0.0162274
279,897,-0.129211
1179,3149,-0.0973367
912,2058,0.317889
1217,1249,0.0698579
380,3955,-0.0647499
1609,3072,0.110008
2270,3024,-0.138328
2,2176,0.0415653
2484,2705,-0.126031
1946,2279,-0.0806018
1657,3404,-0.485168
155,3473,0.0570145
660,4009,-0.186386
2300,2345,0.416449
1399,2356,0.104289
3418,3423,0.0221887
2165,3886,0.0969326
3482,3724,0.0426565
1823,2440,0.123207
146,3102,-0.180105
720,1776,-0.127484
965,2853,-0.461991
2543,2769,0.0145375
439,1384,-0.144146
1063,3651,0.153319
1805,2540,0.247797
2075,2394,0.118081
402,3547,-0.127367
80,294,0.285144
3586,3860,-0.169227
3192,3603,0.249725
862,1826,0.0842543
552,574,0.313519
1160,1219,-0.281345
2563,2711,-0.263263
35,1435,-0.0354323
2576,3192,0.350195
1626,3852,0.214992
299,1551,-0.145242
374,898,0.189921
1943,3398,-0.0708663
385,1655,0.0742352
533,1973,-0.120793
2163,3659,0.0343717
1077,2924,-0.1811
2231,2613,0.00339801
996,3654,0.252594
1672,2230,0.147087
2059,3859,-0.0335999
2005,3880,0.255085
878,2481,0.479648
1914,3834,0.443278
2567,3669,-0.274425
497,2825,-0.00227927
1501,2639,0.0486781
670,1402,-0.780192
3063,3461,0.0239574
2227,3966,0.0283164
461,3858,-0.320691
212,1252,0.107402
1009,1181,-0.157853
1667,2419,-0.160549
1288,2083,0.0309435
2223,3907,0.377409
966,3970,0.200889
5,3944,0.627599
1040,1854,0.106924
1103,1260,-0.72104
2903,3441,0.256614
2826,3794,-0.0715114
2108,2878,-0.379196
513,3630,-0.0687435
1854,3236,0.0104356
2451,2692,-0.0813656
2071,3174,0.32059
1317,2657,0.333378
1252,2595,0.202857
2571,2688,0.198265
2491,3576,-0.110211
1468,2773,0.0294265
1903,2317,-0.192877
1212,3326,0.450328
664,1018,0.0502704
860,2876,-0.0324419
2750,2954,0.0422668
1498,2175,0.0224617
839,3977,-0.818542
1646,3279,-0.227947
121,2181,-0.347285
1195,3113,-0.101261
1488,3202,0.185792
1511,3086,0.0355236
528,2981,-0.343166
2141,3949,-0.0755633
101,3213,-0.460647
420,2334,-0.084149
2185,2617,0.0467899
2941,3983,-0.0279784
1251,3221,0.210397
327,4076,0.175453
1815,2427,0.0254196
324,413,0.0470178
2344,3990,-0.391305
1917,2585,0.290693
39,733,-0.172323
495,2802,0.0254415
1639,3310,0.0192726
534,3010,0.0707983
233,1193,0.0156437
1987,2309,0.194148
958,3192,0.369449
1281,3141,-0.0112423
3430,3438,0.302307
1576,3009,-0.10214
253,1251,0.130965
1237,2712,-0.299587
2409,3219,-0.0239273
1483,3340,-0.0544869
1190,2188,0.0377109
3517,3632,0.493083
2096,3793,0.118083
2470,2842,-0.0691213
100,2010,0.212305
3325,3854,-0.021479
207,341,0.218551
847,3854,0.08416
3624,4066,0.330182
1060,2668,0.0635888
812,2876,-0.240343
288,691,-0.233207
1780,2632,-0.296402
320,878,0.0830702
3698,3792,0.14736
327,862,-0.150543
1833,3623,-0.507105
584,1659,0.253272
1106,2121,-0.0439823
80,447,0.134526
130,3576,0.158152
1222,1922,-0.20497
158,3382,-0.0492596
1081,1219,-0.150617
1384,3995,0.0578176
1456,3159,0.270785
1763,3200,-0.141071
503,1037,-0.341422
879,2935,-0.0517204
2386,3683,-0.242519
1651,2115,0.28156
2699,3867,0.0201351
636,2270,0.222963
