i,j,w,kappa,type
37,397,0.21521169819308061,-31.468365717548217,forman
37,949,0.2013760465826322,-30.645091400370568,forman
37,1139,0.24906947990376835,-35.028080414927814,forman
37,1498,0.3933809197968582,-18.835069777741964,forman
37,2155,0.20784533616074494,-21.258713494226267,forman
37,3411,0.2004637432371425,-38.5840279302584,forman
38,685,0.3609008721244561,-10.787666935133771,forman
38,937,0.3153918267908652,-11.804258625191379,forman
38,1816,0.21245959662886682,-11.075748823930248,forman
38,3852,0.375147727789701,-10.502337648773082,forman
42,300,0.24759168098181955,2.1807952789337923,forman
42,1368,0.5824309541192093,-0.5545144237153559,forman
43,212,0.5419068604901682,-11.499894354715988,forman
43,2004,0.19613504925353453,-12.386647260204533,forman
43,2339,0.4142260913179227,-12.2047248087808,forman
43,3833,0.3293889237687759,-11.0568749735767,forman
44,2786,0.4858508559929108,-0.8390997781264615,forman
44,3398,0.19581098667722763,-2.3461140942967775,forman
46,1199,0.3158172556438148,-9.32242005902365,forman
46,2261,0.3331927069512249,-11.092994336449909,forman
46,2544,0.18852850313154232,-7.311354697480571,forman
47,1820,0.22083420801948478,-18.45788651309122,forman
47,2307,0.20163670488436336,-11.723825551485211,forman
47,2767,0.3647748019734461,-9.831200602163102,forman
47,3345,0.25743667369128637,-16.444317514091797,forman
48,648,0.32253512134785106,-16.35610119958094,forman
48,1704,0.272783877341748,-12.608358494116874,forman
48,1967,0.6624431040274007,-17.28380219917849,forman
48,2821,0.24935463017919193,-15.12090195151059,forman
48,2937,0.34471864389098666,-22.105565625359283,forman
49,245,0.6244997943552258,-7.894109024668225,forman
49,2137,0.18785251957140087,-7.868632792456495,forman
49,3264,0.24317029230614637,-16.84361117784174,forman
49,3456,0.6176686191110131,-9.558642141799153,forman
50,3877,0.21259687434402386,-0.5033434633515399,forman
53,849,0.2126006964647103,-9.0498199561519,forman
53,1300,0.255021684564089,-10.454153627468589,forman
53,3084,0.20342715899280475,-20.56577332857431,forman
53,3644,0.31627252307804243,-13.992708336466208,forman
54,373,0.2076431166668896,-16.099943252423117,forman
54,1249,0.19082006251032999,-5.29875729865252,forman
54,2882,0.5465085989326335,-6.075648556547927,forman
56,863,0.24464229099463636,-25.15192432130575,forman
56,2029,0.3204645082200203,-23.857542083460963,forman
56,2331,0.2869672861446431,-25.492618895942517,forman
56,2542,0.19283698568430854,-23.073725615192068,forman
56,2657,0.2288090825989506,-26.111658272329663,forman
56,3360,0.36227584387856904,-18.24407210511727,forman
57,276,0.36024333038687206,-8.742506232608367,forman
57,2867,0.20668362012081193,-9.56023105761972,forman
57,3710,0.27077105924452877,-20.113445633952715,forman
58,1655,0.36342290863460547,-5.601819046371318,forman
58,3727,0.30007547224139763,-5.609751566899215,forman
58,4001,0.21071622728920045,-4.909945080347105,forman
59,1706,0.19579469780322217,2.0,forman
60,115,0.22475284220836755,-14.638884855786285,forman
60,245,0.22720782824228422,-12.599819296683634,forman
60,650,0.19987339908156201,-15.639457095680516,forman
60,2122,0.5914204212804779,-23.245324936359392,forman
60,2963,0.39088030146204045,-13.447460496649763,forman
60,3183,0.3866877693348243,-15.672549114655805,forman
60,4004,0.4941054614630029,-15.165399853184073,forman
62,157,0.33166220723357553,-1.2661584858887451,forman
63,1363,0.23953529984060726,-26.632987148753802,forman
63,1496,0.2753751493031761,-15.356353802192148,forman
63,1870,0.5371574902701344,-13.021807712392679,forman
63,3131,0.5007285985686489,-14.433811994971837,forman
63,3285,0.1913219356965039,-11.432102280616302,forman
63,3631,0.2791403972398639,-21.64314938623192,forman
63,3813,0.4607400172449721,-16.548073473383788,forman
64,2911,0.2065653458273549,2.0,forman
68,71,0.24686742675764214,-0.6795665221699068,forman
68,3708,0.5647222558348473,-4.6696213322388544,forman
70,864,0.3641587642958061,-7.3952696051135955,forman
70,1432,0.25159429699910923,-7.182554525790522,forman
70,3329,0.22040167478209582,-6.992436193737011,forman
71,3947,0.3171784522731799,-3.9630562979338904,forman
72,680,0.3090917996798477,-28.17126903173209,forman
72,771,0.41383613894718546,-19.491388460942197,forman
72,3305,0.37332186486331953,-15.578217766433845,forman
72,3624,0.21215552339505256,-25.7430521962367,forman
72,3880,0.5120926696057362,-20.25770971874058,forman
72,4066,0.2409607878179016,-28.130613630375002,forman
73,860,0.2279959198182505,-41.09558019679561,forman
73,875,0.22186737659981778,-25.624760423516445,forman
73,1139,0.35019811708182674,-35.473991347786054,forman
73,1252,0.19370522964052234,-35.15412251885261,forman
73,1425,0.2522777991506763,-42.269026636095575,forman
73,2124,0.20202061763371107,-39.80023610740683,forman
73,3411,0.2466064165934963,-40.47043995167238,forman
74,1678,0.20842397745065153,-14.19648070427137,forman
74,1829,0.20677099053380488,-30.311931942168442,forman
74,3093,0.28212762434420235,-19.478653282845528,forman
74,3346,0.20633517764088619,-19.135312600367858,forman
74,3502,0.4484865977390904,-19.23248000537806,forman
74,3566,0.4329588777932196,-13.495698118684114,forman
75,3634,0.4528529519799525,-6.105464781969472,forman
76,635,0.6728723447410184,2.0,forman
78,1872,0.30703627755922885,-1.3808712254185878,forman
79,3877,0.3040242590504103,-1.2341179069088364,forman
80,2838,0.30430923506319396,-15.270130325234195,forman
80,3710,0.2472908881594672,-17.397132853797565,forman
82,776,0.3188046897970926,2.0,forman
83,515,0.3264882500796215,-34.52075371451941,forman
83,673,0.3072260766328185,-26.63166912158486,forman
83,1502,0.30525309106347004,-44.73234326882106,forman
83,1576,0.22311374848295792,-34.50463113503238,forman
83,1684,0.376234892069897,-28.478084106246907,forman
83,2748,0.35268085044844416,-36.44956666623199,forman
83,2937,0.19179932286240708,-32.5261542169215,forman
83,3086,0.534817587049958,-29.05199800053802,forman
83,3171,0.5180069874162763,-26.857824483661865,forman
83,3857,0.5627649666026532,-28.111642627557416,forman
83,4005,0.516866144602547,-24.209983139276684,forman
84,1454,0.526441881555368,-14.677191163103483,forman
