source,file,kernel_file,n,spin,rho_scale,a2,beta,sdim,se,mds_stress
sdim_collated,K_8192_same_rho1p16_a2p55_b1p55_tfine.json,K_8192_same_rho1p16_a2p55_b1p55.npy,8192.0,same,1.16,0.55,1.55,-0.2787668855385519,0.0016895106896659,0.9803213092441854
sdim_collated,K_8192_same_rho1p16_a2p55_b1p60_tfine.json,K_8192_same_rho1p16_a2p55_b1p60.npy,8192.0,same,1.16,0.55,1.6,-0.2778155804042435,0.0016842417295364,0.9813472568104996
sdim_collated,K_8192_same_rho1p16_a2p55_b1p65_tfine.json,K_8192_same_rho1p16_a2p55_b1p65.npy,8192.0,same,1.16,0.55,1.65,-0.2770071917008242,0.0016799742197373,0.9822610925916012
sdim_collated,K_8192_same_rho1p18_a2p55_b1p50_tfine.json,K_8192_same_rho1p18_a2p55_b1p50.npy,8192.0,same,1.18,0.55,1.5,-0.2834307567483519,0.0017069975420016,0.9783976774462138
sdim_collated,K_8192_same_rho1p20_a2p50_b1p60_tfine.json,K_8192_same_rho1p20_a2p50_b1p60.npy,8192.0,same,1.2,0.5,1.6,-0.2478310347875083,0.0007818552931001,0.9798320343026689
sdim_collated,K_8192_same_rho1p20_a2p55_b1p50_tfine.json,K_8192_same_rho1p20_a2p55_b1p50.npy,8192.0,same,1.2,0.55,1.5,-0.2870709224888279,0.0017197170684723,0.9776220644055308
sdim_collated,K_8192_same_rho1p2_a20p5_b1p6_tfine.json,K_8192_same_rho1p2_a20p5_b1p6.npy,,,,,,-0.2860555023438224,0.0009829693118541,0.9798320343026689
sdim_collated,K_4096_same_rho1p12_a2p55_b1p50_smallt.json,K_4096_same_rho1p12_a2p55_b1p50.npy,4096.0,same,1.12,0.55,1.5,-0.0430494885113874,0.0001481028789216,0.9691473413253292
sdim_collated,K_4096_same_rho1p14_a2p55_b1p50_smallt.json,K_4096_same_rho1p14_a2p55_b1p50.npy,4096.0,same,1.14,0.55,1.5,-0.0433037512732238,0.000146876336371,0.9677459064432634
sdim_collated,K_4096_same_rho1p16_a2p55_b1p45_smallt.json,K_4096_same_rho1p16_a2p55_b1p45.npy,4096.0,same,1.16,0.55,1.45,-0.0435591209325363,0.0001453291620776,0.9636165536482616
sdim_collated,K_4096_same_rho1p16_a2p55_b1p50_smallt.json,K_4096_same_rho1p16_a2p55_b1p50.npy,4096.0,same,1.16,0.55,1.5,-0.0435597002841838,0.0001456463839842,0.9662998333841258
sdim_collated,K_4096_same_rho1p16_a2p55_b1p55_smallt.json,K_4096_same_rho1p16_a2p55_b1p55.npy,4096.0,same,1.16,0.55,1.55,-0.0435655650303729,0.0001459548250476,0.9686300293199522
sdim_collated,K_4096_same_rho1p18_a2p55_b1p50_smallt.json,K_4096_same_rho1p18_a2p55_b1p50.npy,4096.0,same,1.18,0.55,1.5,-0.0438172486822641,0.0001444151110059,0.9648144339975342
sdim_collated,K_4096_same_rho1p20_a2p55_b1p50_smallt.json,K_4096_same_rho1p20_a2p55_b1p50.npy,4096.0,same,1.2,0.55,1.5,-0.0440762709052476,0.0001431866569346,0.9632988248683988
sdim_collated,K_8192_same_rho1p12_a2p55_b1p50_smallt.json,K_8192_same_rho1p12_a2p55_b1p50.npy,8192.0,same,1.12,0.55,1.5,-0.073455881735402,0.0001409406225967,0.9806494425715876
sdim_collated,K_8192_same_rho1p14_a2p55_b1p50_smallt.json,K_8192_same_rho1p14_a2p55_b1p50.npy,8192.0,same,1.14,0.55,1.5,-0.0741094697178293,0.0001406688203536,0.9799112144857351
sdim_collated,K_8192_same_rho1p16_a2p55_b1p45_smallt.json,K_8192_same_rho1p16_a2p55_b1p45.npy,8192.0,same,1.16,0.55,1.45,-0.0749232093475615,0.0001395363667196,0.9778387169688352
sdim_collated,K_8192_same_rho1p16_a2p55_b1p50_smallt.json,K_8192_same_rho1p16_a2p55_b1p50.npy,8192.0,same,1.16,0.55,1.5,-0.0747703915564694,0.0001403975667087,0.9791606876635998
sdim_collated,K_8192_same_rho1p16_a2p55_b1p55_smallt.json,K_8192_same_rho1p16_a2p55_b1p55.npy,8192.0,same,1.16,0.55,1.55,-0.0746369144271956,0.0001412176124188,0.9803213092441854
sdim_collated,K_8192_same_rho1p18_a2p55_b1p50_smallt.json,K_8192_same_rho1p18_a2p55_b1p50.npy,8192.0,same,1.18,0.55,1.5,-0.0754383380649338,0.0001401345129969,0.9783976774462138
sdim_collated,K_8192_same_rho1p20_a2p55_b1p50_smallt.json,K_8192_same_rho1p20_a2p55_b1p50.npy,8192.0,same,1.2,0.55,1.5,-0.0761129449466969,0.000139886911047,0.9776220644055308
