u,v,w_uv,kappa_forman
474,2083,0.5015082359313965,2.0
476,2812,0.5287659168243408,2.0
481,3941,0.5614571571350098,2.0
486,1000,0.5225166082382202,1.00663423538208
486,3258,0.5259888172149658,0.9933876991271973
489,974,0.7641606330871582,-0.5423693656921387
495,2341,0.7685887813568115,2.0
499,3732,0.508628249168396,1.281444787979126
503,3123,0.5185630321502686,2.0
507,1441,0.5434431433677673,2.0
508,3116,0.7114130854606628,-13.999330520629883
509,708,0.5362427234649658,2.0
511,1513,0.7499661445617676,2.0
512,3078,0.5341939330101013,2.0
515,1502,0.5002653002738953,-7.496555328369141
515,2748,0.5187514424324036,-7.567327499389648
515,3857,0.5206590890884399,-15.986297607421875
516,1683,0.548008143901825,2.0
526,2804,0.7342708110809326,2.0
527,2884,0.7395286560058594,0.9874155521392822
528,3006,0.6473522782325745,2.0
532,3002,0.8038333654403687,2.0
533,1196,0.6321092247962952,-2.879680633544922
533,1667,0.6284025311470032,-2.9674062728881836
534,2917,0.57233065366745,-1.736842393875122
536,795,0.513129711151123,2.0
544,1384,0.5575500726699829,2.0
547,3360,0.5434358716011047,0.9325231313705444
552,2120,0.5903717875480652,2.0
554,2941,0.5852118730545044,-23.794204711914062
555,892,0.5109357237815857,-1.6727814674377441
555,2017,0.6558585166931152,-3.3123416900634766
555,2057,0.7262769937515259,-2.2440171241760254
566,2162,0.5492838621139526,2.0
575,3480,0.5370297431945801,2.0
580,1340,0.5112022161483765,0.4514453411102295
583,1431,0.6765143275260925,0.2975730895996094
596,735,0.6413071155548096,1.0045249462127686
596,2145,0.6442123651504517,0.9954849481582642
602,2972,0.5563228726387024,-14.095590591430664
603,2329,0.8177123665809631,2.0
610,3396,0.780724287033081,-0.6780792474746704
612,1373,0.5196579098701477,2.0
618,3257,0.5510127544403076,2.0
623,2582,0.5672887563705444,-1.9209320545196533
636,1605,0.5584729313850403,2.0
637,2034,0.7808581590652466,-0.5247713327407837
637,2860,0.5276024341583252,1.4414632320404053
643,3351,0.7437888979911804,2.0
645,3836,0.5312318801879883,0.9549857378005981
648,864,0.892452597618103,-2.4856021404266357
648,1967,0.5508811473846436,-2.9563302993774414
648,2129,0.5166218280792236,-1.7666103839874268
652,2234,0.8375422954559326,2.0
658,2828,0.5799180269241333,-2.6374378204345703
658,4021,0.8620657920837402,-0.8364790678024292
662,3900,0.7155969738960266,2.0
665,988,0.5938735604286194,-8.13570785522461
665,3784,0.5219249129295349,0.1836109161376953
677,833,0.5817428827285767,1.1575045585632324
680,4066,0.8501666784286499,2.0
686,1159,0.7800370454788208,2.0
690,3968,0.5585149526596069,2.0
699,1448,0.5465913414955139,1.2209012508392334
699,3635,0.6732772588729858,0.8009636402130127
707,3167,0.9386372566223145,-0.38121533393859863
707,3310,0.7301576137542725,0.37545061111450195
711,1563,0.5104731917381287,-5.702831745147705
711,2041,0.545619547367096,-1.9365506172180176
711,2837,0.7456056475639343,-3.600525379180908
713,2673,0.7385892868041992,2.0
716,4048,0.5871890783309937,0.849810004234314
721,1424,0.5747325420379639,2.0
728,3143,0.5717966556549072,2.0
729,2332,0.5663858652114868,2.0
733,2303,0.6037144064903259,2.0
745,3446,0.5524905323982239,0.9601023197174072
747,1238,0.9329639077186584,2.0
750,2851,0.6002594828605652,2.0
753,2334,0.5050746202468872,0.6591618061065674
754,2190,0.5080577731132507,-8.02763843536377
754,3116,0.5011060237884521,-15.750632286071777
761,1166,0.6681543588638306,2.0
765,775,0.7671452164649963,2.0
766,3766,0.5545368790626526,2.0
769,3979,0.6398398280143738,1.2343518733978271
770,1805,0.609576940536499,2.0
778,3890,0.6105750799179077,2.0
780,1303,0.5930382013320923,2.0
784,1192,0.5595064759254456,1.0195233821868896
788,1766,0.6312652230262756,2.0
789,1917,0.5081920623779297,1.0538434982299805
789,3793,0.5359134078025818,0.947567343711853
