i,j,w,kappa,type
33,6389,0.7658953631019463,-17.549944848002845,forman
34,692,0.23328205232457452,-14.442118021217876,forman
34,840,0.2985005153834203,-12.613806231129896,forman
34,1514,0.3227553657906967,-19.346555105088367,forman
34,2620,0.25110138448656705,-11.772239433553825,forman
34,7659,0.24502614519919586,-16.324190752522867,forman
35,2531,0.17659827861884986,-8.49317714209855,forman
35,4399,0.7275014279883218,-10.984544582846866,forman
35,4675,0.36529867425877616,-7.702108221616894,forman
35,8047,0.15958328472511815,-10.69004487241877,forman
36,1481,0.1603573985010963,-11.83177957561735,forman
36,1609,0.28205631560476113,-15.523777368173366,forman
36,2857,0.39863275366663425,-15.626399913767246,forman
36,6003,0.19421730216738423,-17.759966831256417,forman
37,73,0.1799863732133965,-62.85946557726474,forman
37,1498,0.42530760243904353,-47.92283137549073,forman
37,2155,0.3088141628450141,-42.14545534939908,forman
37,4533,0.2672528737013445,-48.068500085439524,forman
37,5337,0.2508466340003188,-48.72065231180533,forman
37,5573,0.3723426297671232,-43.6749337163924,forman
37,5958,0.17171289282421862,-62.85958770648739,forman
37,6706,0.2140496576869875,-65.73968093393228,forman
37,7600,0.14643686314143162,-50.28695699266815,forman
38,685,0.15225468811814657,-49.81839642822956,forman
38,3852,0.18482805372816896,-42.74714325123068,forman
38,4748,0.31806418615378823,-28.452856141516598,forman
38,6351,0.3061582935187852,-36.45748310916113,forman
38,7652,0.33030633485220745,-37.666033188498034,forman
38,7883,0.29663351575381874,-48.12686298748058,forman
39,2505,0.1485293434938539,-8.202490154510413,forman
39,7769,0.2573166697772378,-15.624651003827116,forman
42,300,0.2568308230324168,-15.227673072625045,forman
42,1368,0.5068139822178176,-6.370825003775362,forman
42,1532,0.1642810396747104,-6.994756926804843,forman
42,5965,0.5569985656863511,-16.286112547753405,forman
43,212,0.42316620932340643,-31.445728866561094,forman
43,1423,0.2782217632379392,-35.95556875972119,forman
43,2004,0.24524090009828298,-44.99082734044989,forman
43,2339,0.36862494467894463,-40.2870113954758,forman
43,3833,0.5500131519390505,-40.537773901731214,forman
43,5068,0.2228044281204946,-70.14719758155675,forman
43,5086,0.1567554876333201,-51.13024972141313,forman
43,5275,0.3124694847210013,-35.628911872818435,forman
43,5871,0.35072303717127123,-39.265653107441956,forman
43,5872,0.4760090170677457,-44.13207465423379,forman
43,8167,0.24717777549624542,-30.988165808609466,forman
44,2786,0.26758835946552934,-30.744248868679882,forman
44,4135,0.33170356419023916,-31.838285075856042,forman
44,4345,0.15092572113399297,-32.05768769758871,forman
44,4587,0.18630314885811175,-24.12923011769126,forman
44,4600,0.28799769267265757,-30.886718312340275,forman
44,6719,0.30056978977525667,-28.217658318644432,forman
44,7028,0.4132724644605559,-24.052783230549494,forman
46,1199,0.2453134868357238,-27.83107454701334,forman
46,1582,0.23265076785959338,-44.50084194659232,forman
46,2261,0.18351201953033316,-32.869109961575916,forman
46,5133,0.2202867371564368,-22.577512847975335,forman
46,5690,0.17896420533641086,-36.6665844591692,forman
46,7187,0.3829443688640897,-17.83123829622633,forman
46,7428,0.27658411493890933,-33.88615145278625,forman
47,2307,0.312923089787298,-8.64886967582887,forman
47,2767,0.21245360211816855,-13.510975795472104,forman
47,3345,0.3609507015175957,-12.096448843986654,forman
47,3660,0.17950257475604975,-21.16795193372023,forman
48,648,0.21187319948318561,-54.46049049137525,forman
48,1432,0.3143134706001312,-46.05909170255813,forman
48,1704,0.1626821070231134,-50.5042864600053,forman
48,1967,0.7469338503025563,-45.610545079231215,forman
48,2821,0.18997196169390118,-50.92485844412501,forman
48,2937,0.3053532660021699,-48.23247679582421,forman
48,4079,0.15254146978771382,-40.608528388613834,forman
48,4440,0.17732869400246282,-58.45356548428354,forman
48,6794,0.3488355559875885,-46.452146823025274,forman
48,7116,0.15601222492081154,-83.4131489406709,forman
48,7518,0.192859801850178,-57.99757968317652,forman
49,245,0.4900237953901155,-16.221799232366955,forman
49,1872,0.20525105149952005,-21.016186143826033,forman
49,3456,0.3236610975629385,-16.526609342846726,forman
49,8105,0.2549053950840995,-19.363012385791706,forman
50,261,0.1645202942686813,-17.526895435081578,forman
50,5953,0.1768403675192261,-22.500348807636044,forman
51,6108,0.5644922902441114,2.0,forman
52,4837,0.19327505169255563,2.0,forman
53,3644,0.14596712683861976,-17.41056392444954,forman
53,7053,0.16991892283363283,-16.374271930709003,forman
53,7178,0.4842815020096224,-20.421571754342608,forman
53,7699,0.2239859419793265,-38.61131013318254,forman
54,2882,0.3029843772983969,-25.27953192957385,forman
54,4318,0.18012005288072533,-38.60592539035833,forman
54,4445,0.35507527224078916,-40.882285588070104,forman
54,4505,0.18520306319155183,-44.40279904093822,forman
54,5052,0.2065964180440016,-33.715284181305805,forman
54,5399,0.32139299963805285,-31.699311944056408,forman
54,6157,0.5794373305590083,-28.252837867890012,forman
54,7316,0.29908960847809607,-25.161985902205323,forman
55,5001,0.15703008019682546,-2.989351608150167,forman
56,547,0.1896673621038836,-66.67718456908887,forman
56,2029,0.2754878083537177,-59.48129455687295,forman
56,2331,0.2517616635851281,-51.3375813033558,forman
56,2695,0.19231354096225728,-66.03466898443573,forman
56,3094,0.20821541024145665,-44.46801452419892,forman
56,3360,0.15041884329598748,-52.62856123998328,forman
