step,node,omega,phi,spin,,
7600,1,1,5.497787144,-1,-1,0
7600,2,1,2.35619449,1,1,0
7600,3,1,2.35619449,-1,-1,0
7700,0,1,5.497787144,1,1,0
7700,1,1,5.497787144,-1,-1,0
7700,2,1,2.35619449,1,1,0
7700,3,1,2.35619449,-1,-1,0
7800,0,1,5.497787144,1,1,0
7800,1,1,5.497787144,-1,-1,0
7800,2,1,2.35619449,1,1,0
7800,3,1,2.35619449,-1,-1,0
7900,0,1,5.497787144,1,1,0
7900,1,1,5.497787144,-1,-1,0
7900,2,1,2.35619449,1,1,0
7900,3,1,2.35619449,-1,-1,0
8000,0,1,5.497787144,1,1,0
8000,1,1,5.497787144,-1,-1,0
8000,2,1,2.35619449,1,1,0
8000,3,1,2.35619449,-1,-1,0
8100,0,1,5.497787144,1,1,0
8100,1,1,5.497787144,-1,-1,0
8100,2,1,2.35619449,1,1,0
8100,3,1,2.35619449,-1,-1,0
8200,0,1,5.497787144,1,1,0
8200,1,1,5.497787144,-1,-1,0
8200,2,1,2.35619449,1,1,0
8200,3,1,2.35619449,-1,-1,0
8300,0,1,5.497787144,1,1,0
8300,1,1,5.497787144,-1,-1,0
8300,2,1,2.35619449,1,1,0
8300,3,1,2.35619449,-1,-1,0
8400,0,1,5.497787144,1,1,0
8400,1,1,5.497787144,-1,-1,0
8400,2,1,2.35619449,1,1,0
8400,3,1,2.35619449,-1,-1,0
8500,0,1,5.497787144,1,1,0
8500,1,1,5.497787144,-1,-1,0
8500,2,1,2.35619449,1,1,0
8500,3,1,2.35619449,-1,-1,0
8600,0,1,5.497787144,1,1,0
8600,1,1,5.497787144,-1,-1,0
8600,2,1,2.35619449,1,1,0
8600,3,1,2.35619449,-1,-1,0
8700,0,1,5.497787144,1,1,0
8700,1,1,5.497787144,-1,-1,0
8700,2,1,2.35619449,1,1,0
8700,3,1,2.35619449,-1,-1,0
8800,0,1,5.497787144,1,1,0
8800,1,1,5.497787144,-1,-1,0
8800,2,1,2.35619449,1,1,0
8800,3,1,2.35619449,-1,-1,0
8900,0,1,5.497787144,1,1,0
8900,1,1,5.497787144,-1,-1,0
8900,2,1,2.35619449,1,1,0
8900,3,1,2.35619449,-1,-1,0
9000,0,1,5.497787144,1,1,0
9000,1,1,5.497787144,-1,-1,0
9000,2,1,2.35619449,1,1,0
9000,3,1,2.35619449,-1,-1,0
9100,0,1,5.497787144,1,1,0
9100,1,1,5.497787144,-1,-1,0
9100,2,1,2.35619449,1,1,0
9100,3,1,2.35619449,-1,-1,0
9200,0,1,5.497787144,1,1,0
