i,j,w,kappa,type
3,3200,0.14092031261017454,-171.60139866961788,forman
3,5256,0.07129913571198652,-267.430050782919,forman
3,6085,0.19170442971238688,-163.78419747545942,forman
3,6763,0.07568336765012695,-214.72516684724624,forman
3,6926,0.20534081043219157,-157.52120442825574,forman
3,7168,0.1280365609738718,-185.2434447389943,forman
3,7917,0.10257581743291022,-264.3681181354005,forman
4,100,0.2626481150399203,-112.96691367783993,forman
4,815,0.38282130792635194,-115.55368744919272,forman
4,1193,0.09617388516025685,-160.05893209255026,forman
4,1317,0.30257485865622297,-139.1562538559708,forman
4,1797,0.12330837011568245,-162.38718387657332,forman
4,2266,0.8032054179195218,-80.4605646748739,forman
4,2360,0.16893419540967078,-144.0454899364963,forman
4,2793,0.16917448748638733,-189.40738153364293,forman
4,3051,0.0917898539551108,-168.80252538797296,forman
4,4719,0.13867755530670864,-180.6049803919912,forman
4,4833,0.07698850770225403,-208.14185614617236,forman
4,5443,0.1638262226381297,-156.57699851230362,forman
4,6282,0.0850415581509543,-187.06943524080464,forman
4,7503,0.2894258180608929,-93.2142325796344,forman
4,7720,0.2111981559196713,-176.0098372708868,forman
5,433,0.11092666906134771,-128.1795590119056,forman
5,636,0.12308080114939565,-134.55909192668577,forman
5,1880,0.08142417516460448,-151.19356724336666,forman
5,2993,0.3506525392360984,-109.00217698562686,forman
5,3105,0.07689245143889467,-182.32992432820794,forman
5,3934,0.1711874385949344,-141.31361644875227,forman
5,3944,0.30302249548103877,-99.63887861377049,forman
5,4444,0.07758324521215026,-190.93053403955605,forman
5,5477,0.7216430285688741,-69.97091569370542,forman
5,6426,0.2736946829216985,-114.72652806580443,forman
5,7026,0.20231188471992795,-150.4242897629188,forman
5,7281,0.1702632694670684,-143.21042987571894,forman
5,7479,0.5693101202496967,-76.29040476088925,forman
6,128,0.17653884751282833,-212.72101354023314,forman
6,279,0.14839261966243772,-196.6645595889854,forman
6,547,0.11784916811248669,-246.18746019187776,forman
6,601,0.12798991305896937,-202.62938806132286,forman
6,863,0.13417011567299295,-169.13812648457,forman
6,1979,0.08205051629919648,-221.06580195598391,forman
6,2361,0.2807513222872273,-189.31271313852972,forman
6,2695,0.2725929797346976,-175.2183519181257,forman
6,2917,0.26575226764535076,-154.5846275215282,forman
6,4245,0.2508865628281429,-177.05116536958425,forman
6,4817,0.20712499186533856,-166.5104566645924,forman
6,4973,0.10769285719906865,-229.71789750446553,forman
6,5213,0.07375760645459158,-259.58914882899455,forman
6,6136,0.4274202697459852,-141.5261009919397,forman
6,6298,0.6928704654123907,-117.88640883498519,forman
6,6470,0.21839995306813687,-162.54828581587242,forman
6,6518,0.1855795696843693,-209.50595690514163,forman
6,6925,0.11756114614236203,-216.90322027837624,forman
6,7118,0.2449319548215498,-162.4228532230714,forman
6,7440,0.0950163905994927,-269.17769073007423,forman
6,7570,0.07048805156996124,-253.66270571870595,forman
7,3814,0.07558279585614029,-37.90411480034863,forman
7,4237,0.13869078983315133,-21.072917298304716,forman
7,5701,0.4072664318271514,-16.38967619320483,forman
9,847,0.2828158379363859,-130.81298739859847,forman
9,1207,0.08179654192481042,-151.64907060122343,forman
9,1232,0.2497544284391338,-122.40649800310842,forman
9,1283,0.08220423955037934,-150.17102528097266,forman
9,3534,0.169847813527072,-101.45701614256092,forman
9,5441,0.2832466122458685,-89.76422813804194,forman
9,5693,0.3397099064621258,-81.64062988071393,forman
9,6093,0.1108631959450624,-98.8734331954442,forman
9,6382,0.27036827953278225,-75.24272077086631,forman
9,6646,0.5149603727302297,-75.7146819154919,forman
9,7390,0.37106556353730863,-101.5033063314599,forman
9,7721,0.10250689877271191,-165.81576815884054,forman
11,7012,0.5846580860809436,-5.7668709177733986,forman
12,5190,0.12446761613912476,-17.47871796565758,forman
13,716,0.21117380493564694,-89.59215309758522,forman
13,3552,0.12746124508370787,-93.05820079623793,forman
13,3746,0.18099365655454824,-114.94481009863378,forman
13,4048,0.24051854448926457,-73.29577626140951,forman
13,6607,0.07689702146569971,-102.38521622412767,forman
13,6863,0.12915236814243847,-97.88836215621674,forman
13,7113,0.2111284743252215,-83.13932816082493,forman
13,7551,0.09287682324611134,-96.36576188515866,forman
14,322,0.09695026964560066,-235.13633162158737,forman
14,1147,0.26008678757585635,-133.78428938536922,forman
14,1172,0.24366285546768707,-112.34577783647254,forman
14,1572,0.26962638098086583,-129.83097770364594,forman
14,3858,0.11600670877249451,-136.63406678650023,forman
14,4431,0.09297989776624126,-229.45883801939016,forman
14,4511,0.11081940108738629,-187.51773177854818,forman
14,4805,0.2149895148408129,-166.35234545795703,forman
14,5146,0.09533252183373597,-190.73521456566112,forman
14,5507,0.10495793483595871,-172.99061642290553,forman
14,6079,0.12082146715220493,-196.86233287553821,forman
14,6608,0.16811636513614048,-152.28679718169298,forman
14,6904,0.14740203550818057,-141.2510458043079,forman
14,7716,0.11442104368108763,-151.84058235383876,forman
15,38,0.15485680196751148,-143.5667487357859,forman
15,685,0.2774033733935901,-137.42883434962846,forman
15,937,0.5244552787344391,-110.08421801984349,forman
15,1307,0.09002955401609623,-269.6524215313401,forman
15,1370,0.09410871400622102,-205.08175156236217,forman
15,1626,0.10401195902556852,-254.46153265334328,forman
15,1679,0.1428728156785078,-194.12333275063912,forman
