node,deg_wsum,ric_forman
172,1.216235876083374,-0.43967199325561523
173,1.1256530284881592,-0.3472108840942383
174,0.0,0.0
175,0.8044801354408264,2.0
176,0.0,0.0
177,0.6050870418548584,2.0
178,0.5644198060035706,2.0
179,0.412640780210495,1.6248855590820312
180,0.5268605351448059,0.8257459402084351
181,0.0,0.0
182,0.4724595248699188,2.0
183,0.0,0.0
184,0.47501155734062195,2.0
185,0.0,0.0
186,0.4206078350543976,1.1138026714324951
187,0.0,0.0
188,0.9616717100143433,-8.045318365097046
189,0.0,0.0
190,0.5469338893890381,2.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.8638337254524231,0.44531142711639404
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.5712109208106995,2.0
205,1.1216576099395752,0.7480186223983765
206,0.0,0.0
207,0.4189741611480713,-1.8980181217193604
208,0.984154462814331,2.0
209,0.0,0.0
210,0.0,0.0
211,0.5746757388114929,2.0
212,2.775442600250244,-79.44795799255371
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.5815966129302979,2.0
225,0.46554306149482727,2.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.8524760007858276,1.1469718217849731
231,0.0,0.0
232,0.0,0.0
233,0.5695357918739319,0.8253546953201294
234,0.0,0.0
235,0.4864988327026367,-1.9225165843963623
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.8411372900009155,2.0
240,0.0,0.0
241,0.4841047525405884,0.8291723728179932
242,0.0,0.0
243,0.9237746596336365,1.1341255903244019
244,0.0,0.0
245,0.8254761099815369,2.0
246,0.0,0.0
247,0.7125956416130066,2.0
248,0.48592865467071533,1.2304885387420654
249,0.5202127695083618,2.0
250,0.4609496593475342,0.9981098175048828
251,1.4683189392089844,-11.002536058425903
252,0.0,0.0
253,0.7849201560020447,0.6198614835739136
254,0.5914747714996338,0.6869419813156128
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,0.0,0.0
259,0.0,0.0
260,0.40415671467781067,2.0
261,0.0,0.0
262,0.0,0.0
263,0.0,0.0
264,0.0,0.0
265,0.0,0.0
266,1.0040723085403442,-0.11814308166503906
267,0.0,0.0
268,0.4102225601673126,1.7636699676513672
269,0.5640266537666321,2.0
270,0.0,0.0
271,1.5303174257278442,-16.282773971557617
272,1.5633007287979126,-3.5154889822006226
273,2.2579214572906494,-23.41913890838623
274,0.4104716181755066,1.0669176578521729
275,0.4166182279586792,1.3022491931915283
276,1.0142004489898682,1.0106650590896606
277,0.0,0.0
278,0.0,0.0
279,0.626617968082428,2.0
280,0.0,0.0
281,0.4468960762023926,0.9593355655670166
282,0.5035802721977234,2.0
283,0.0,0.0
284,0.0,0.0
285,0.566292405128479,2.0
286,0.0,0.0
287,0.95169997215271,2.0000462532043457
288,0.6865313053131104,2.0
289,0.0,0.0
290,0.0,0.0
291,0.0,0.0
292,1.0700998306274414,0.8709409236907959
293,0.4696160852909088,2.0
294,1.4967575073242188,-20.166071891784668
295,0.6993784308433533,0.5200119018554688
296,0.0,0.0
297,0.46875321865081787,-1.8326408863067627
298,0.5678839087486267,-2.200953722000122
299,0.0,0.0
300,1.251778244972229,0.7612093687057495
301,0.0,0.0
302,0.0,0.0
303,0.0,0.0
304,0.4937862455844879,2.0
305,0.8542592525482178,2.0035176277160645
306,0.41278040409088135,1.1195487976074219
307,0.40352630615234375,2.0
308,0.0,0.0
309,1.9486067295074463,-44.54660224914551
310,0.6182827949523926,2.0
311,0.0,0.0
312,0.6720827221870422,0.5908505916595459
313,0.0,0.0
314,0.0,0.0
315,3.0288054943084717,-71.5042896270752
316,0.0,0.0
317,1.1865030527114868,-15.303788423538208
318,2.164689302444458,-39.82404899597168
319,0.0,0.0
320,1.3803972005844116,1.6385722160339355
321,0.0,0.0
322,0.5007925629615784,2.0
323,0.520944356918335,2.0
324,0.0,0.0
325,1.3292850255966187,0.6735527515411377
326,0.0,0.0
327,0.4977284073829651,2.0
328,0.0,0.0
329,0.0,0.0
330,0.5320031046867371,2.0
331,1.3092175722122192,-16.598484754562378
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.9646098613739014,1.3310953378677368
342,0.0,0.0
343,0.7848476767539978,2.0
344,0.0,0.0
345,0.0,0.0
346,1.1582343578338623,-16.000064849853516
347,0.0,0.0
348,0.0,0.0
349,0.0,0.0
350,0.0,0.0
351,0.0,0.0
352,0.0,0.0
353,0.42391884326934814,2.0
354,0.0,0.0
355,0.0,0.0
356,0.5244395732879639,0.9670331478118896
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.43394601345062256,-1.96925950050354
361,0.8173196315765381,2.0
362,0.5804533362388611,2.0
363,0.0,0.0
364,0.40349340438842773,2.0
365,1.0860614776611328,-10.756266355514526
366,1.138380765914917,-8.179778456687927
367,0.6661399006843567,2.0
368,0.0,0.0
369,0.5560654997825623,0.9427467584609985
370,0.0,0.0
371,0.9627174139022827,0.13365530967712402
372,0.6737479567527771,0.5513794422149658
373,1.7832412719726562,-20.674724578857422
374,1.3582549095153809,2.0000059604644775
375,0.40127095580101013,1.110257625579834
376,0.0,0.0
377,1.1562750339508057,-6.275493860244751
378,0.0,0.0
379,1.0245065689086914,0.4930696487426758
380,0.403462290763855,2.0
381,2.150200366973877,-59.15920829772949
382,0.0,0.0
383,2.58109450340271,-98.63397026062012
384,0.0,0.0
385,0.0,0.0
386,0.5457276701927185,2.0
387,0.0,0.0
388,0.0,0.0
389,1.2270058393478394,-3.0384368896484375
390,0.0,0.0
391,0.0,0.0
392,1.090144395828247,-7.002429723739624
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.5029200911521912,-2.047201156616211
397,1.1747499704360962,-1.8774257898330688
398,0.0,0.0
399,0.0,0.0
400,1.1650651693344116,-1.7628215551376343
401,0.0,0.0
402,0.9424590468406677,1.0320614576339722
403,0.8856621980667114,-7.899368524551392
404,0.4709261953830719,1.5269644260406494
405,0.0,0.0
406,0.0,0.0
407,0.40550291538238525,2.0
408,0.0,0.0
409,0.0,0.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,1.1031266450881958,2.1200504302978516
414,2.0514566898345947,-49.39494609832764
415,1.5075790882110596,-20.47181248664856
416,0.0,0.0
417,0.0,0.0
418,0.7517221570014954,2.0
419,0.0,0.0
420,0.0,0.0
421,0.5609724521636963,0.7451812028884888
422,0.6979485154151917,0.7081470489501953
423,0.9926313161849976,-3.023831009864807
424,0.0,0.0
425,0.0,0.0
426,0.0,0.0
427,0.0,0.0
428,0.0,0.0
429,1.3497220277786255,-0.2954537868499756
430,0.0,0.0
431,0.0,0.0
432,0.0,0.0
433,0.0,0.0
434,0.0,0.0
435,0.0,0.0
436,1.5706026554107666,-11.377225160598755
437,0.0,0.0
438,0.0,0.0
439,0.5205070972442627,0.9850854873657227
440,1.0295875072479248,-6.302633762359619
441,0.0,0.0
442,0.0,0.0
443,0.0,0.0
444,0.0,0.0
445,0.0,0.0
446,0.0,0.0
447,0.9279248714447021,-1.977062463760376
448,0.0,0.0
449,0.0,0.0
450,0.0,0.0
451,0.0,0.0
452,0.8688642382621765,2.0061872005462646
453,0.0,0.0
454,1.2158458232879639,-8.392322897911072
455,0.5662780404090881,0.6811643838882446
456,0.0,0.0
457,0.0,0.0
458,1.145728349685669,-11.236468315124512
459,0.0,0.0
460,0.7279477715492249,2.0
461,0.0,0.0
462,0.0,0.0
463,0.0,0.0
464,0.46042588353157043,1.4364793300628662
465,0.0,0.0
466,0.8600952625274658,2.0
467,0.0,0.0
468,0.0,0.0
469,0.0,0.0
470,0.49971136450767517,2.0
471,1.220484733581543,-2.3751068115234375
472,0.42104557156562805,-2.016361713409424
473,0.811371922492981,2.0
474,0.9213912487030029,2.0158512592315674
475,0.0,0.0
476,0.5287659168243408,2.0
477,0.41223543882369995,2.0
478,0.4450228810310364,0.917827844619751
479,0.0,0.0
480,0.0,0.0
481,0.5614571571350098,2.0
482,0.0,0.0
483,0.0,0.0
484,0.0,0.0
485,0.44765928387641907,2.0
486,1.517491102218628,-6.005870342254639
487,0.0,0.0
488,0.0,0.0
489,2.284052848815918,-44.29669952392578
490,0.0,0.0
491,0.0,0.0
492,0.0,0.0
493,0.0,0.0
494,0.8666445016860962,0.9964257478713989
495,0.7685887813568115,0.4592231512069702
496,0.0,0.0
497,0.0,0.0
498,0.0,0.0
499,0.508628249168396,1.281444787979126
500,0.0,0.0
501,0.0,0.0
502,0.7517221570014954,2.0
503,0.5185630321502686,2.0
504,0.0,0.0
505,0.0,0.0
506,0.0,0.0
507,1.0298736095428467,2.006153106689453
508,1.5777654647827148,-56.72531700134277
509,0.5362427234649658,2.0
510,0.0,0.0
511,0.7499661445617676,2.0
512,0.5341939330101013,2.0
513,0.4772004783153534,2.0
514,0.0,0.0
515,2.5264856815338135,-151.59087753295898
516,0.548008143901825,2.0
517,0.0,0.0
518,0.0,0.0
519,0.0,0.0
520,0.0,0.0
521,0.0,0.0
522,0.0,0.0
523,0.0,0.0
524,0.0,0.0
525,0.0,0.0
526,0.7342708110809326,0.5693823099136353
527,1.1621090173721313,-2.569608449935913
528,0.6473522782325745,2.0
529,0.0,0.0
530,0.0,0.0
531,0.0,0.0
