u,v,w_uv,kappa_forman
73,3411,0.7783709168434143,0.6052045822143555
74,3093,0.47862088680267334,-3.0431108474731445
74,3566,0.43302756547927856,1.1027836799621582
76,635,0.43477627635002136,2.0
77,3292,0.40649524331092834,1.3433918952941895
82,776,0.42409658432006836,2.0
83,515,0.563395082950592,-39.374427795410156
83,1684,0.5166739225387573,-33.51313781738281
83,3171,0.4117600917816162,-41.73554229736328
83,3820,0.40017029643058777,-42.26940155029297
83,3857,0.7693248391151428,-55.9236946105957
83,4005,0.6432641744613647,-31.973018646240234
84,4062,0.46315109729766846,1.1591203212738037
85,2260,0.4352618157863617,-5.367543697357178
85,3287,0.6402161121368408,-3.449904441833496
85,3478,0.7036425471305847,-6.684661865234375
88,204,0.5712109208106995,2.0
89,2836,0.4593479037284851,-14.795650482177734
89,3584,0.6007711887359619,-0.38520753383636475
94,2865,0.5328387022018433,0.786003589630127
94,3156,0.42555367946624756,-2.782170534133911
95,753,0.8235464096069336,-0.818520188331604
95,2334,0.5508111715316772,0.3696550130844116
98,132,0.6211681365966797,0.6922023296356201
100,1317,0.5213658213615417,-2.7932212352752686
100,1437,0.5528499484062195,-3.2490499019622803
100,2360,0.6269856095314026,-18.08757972717285
101,2140,0.5694707036018372,-7.027772903442383
103,609,0.9279807806015015,-1.2047525644302368
103,3060,0.5025579929351807,-2.331099271774292
104,107,0.4859338402748108,1.0673441886901855
104,582,0.5191910862922668,-0.2578645944595337
109,1268,0.4570395052433014,-1.947920799255371
109,1730,0.4474852979183197,-1.911849021911621
109,4095,0.5301520824432373,-2.1539626121520996
110,3458,0.4008561670780182,1.121095895767212
111,1847,0.7792794704437256,2.0
114,2056,0.59764164686203,2.0
116,1899,0.5013271570205688,-5.75756311416626
116,2826,0.7765708565711975,-6.83601713180542
116,3232,0.5922178030014038,-6.191755294799805
118,2565,0.4657912254333496,1.4366192817687988
120,870,0.5981780886650085,-3.3018851280212402
120,3889,0.5845086574554443,-3.181734800338745
122,2675,0.6578856706619263,-2.250185251235962
126,145,0.6903324127197266,-6.612355709075928
126,877,0.4503050744533539,-2.5373642444610596
126,2106,0.5994195938110352,-6.358750820159912
127,2089,0.5322051048278809,2.0
128,2361,0.5203821063041687,0.9048837423324585
130,318,0.5231636166572571,-7.308879852294922
131,3582,0.40846607089042664,2.0
132,650,0.44685792922973633,0.3012862205505371
133,1052,0.7800107002258301,2.0
135,1855,0.4250090420246124,-14.579265594482422
137,610,0.5377024412155151,0.270418643951416
137,3396,0.46193596720695496,-8.049698829650879
139,3891,0.8134930729866028,2.0
140,1091,0.43450236320495605,1.1166822910308838
140,1625,0.5529742240905762,0.2749934196472168
141,2066,0.4796541631221771,-11.367055892944336
