i,j,kappa_oll,approx
1140,3059,0.9997537962680245,1
916,1655,0.9995066321578777,1
2097,3501,0.9999783506047398,1
156,575,0.999186387020182,1
2333,3552,0.9993771191675704,1
3395,3732,0.999989030276437,1
1704,2583,0.9997072879821199,1
862,1403,0.9993077220730852,1
909,2998,0.9998069498069498,1
246,2552,0.9967994951316264,1
1845,4059,0.9994233439333542,1
706,1137,0.9970148643398965,1
424,3602,0.9960836563307494,1
159,1381,0.9999945210763236,1
260,1815,0.999693835394104,1
1369,2123,0.9987675070028011,1
2582,3547,0.9998440531635203,1
710,915,0.9992211838006231,1
1544,2767,0.9994961364526582,1
2298,2513,0.9999080229106568,1
2289,2682,0.9984839072299136,1
381,3059,0.999986448721964,1
673,3766,0.9996856787938677,1
627,2810,0.9997246121116199,1
254,1650,0.9999597277596552,1
674,2265,0.999094295991778,1
48,3418,0.9999450805942279,1
2445,3639,0.9999455963510384,1
830,2845,0.9995366103695726,1
2830,2868,0.9991322658274713,1
792,2357,0.9991242527591477,1
1114,1443,0.9995417613118437,1
44,3014,0.9999138386065141,1
937,3086,0.9999825828475883,1
434,3423,0.9999544724983024,1
376,439,0.9997580560786775,1
1793,3952,0.9998501943335386,1
2270,3350,0.999943494400452,1
44,2159,0.9996755982473879,1
274,2642,0.9997313279244068,1
782,1400,0.9999376114081996,1
1242,1880,0.999619867312175,1
3995,4004,0.999896480331263,1
3339,3907,0.9992621390034909,1
400,494,0.9998783795536326,1
1528,2331,0.9996353074772886,1
874,2828,0.9994102362949486,1
1116,2423,0.9998195624389143,1
837,3034,0.9995271122320303,1
3316,3722,0.999003550375134,1
2092,3085,0.99926097711812,1
828,2353,0.9997184593227864,1
124,1285,0.9898364485981308,1
147,1084,0.9987423370302775,1
1685,1912,0.9995875209380235,1
937,3486,0.9998381488315198,1
108,2731,0.9997904451730355,1
386,1656,0.9984917043740573,1
2062,2289,0.9997465342257187,1
3474,3965,0.9997032928673932,1
1161,2004,0.9999397623071545,1
671,968,0.9996981625646121,1
193,3001,0.9998540628891657,1
1943,2140,0.9999616199313179,1
1200,2288,0.9973975636766335,1
2043,2250,0.9995615275813295,1
2562,3929,0.9994057724957555,1
3302,3687,0.9987184037225443,1
1708,3077,0.9978963990963161,1
2721,4056,0.9999661643061294,1
86,1780,0.999980243401296,1
792,3625,0.9992879976037436,1
222,1677,0.9982090946843853,1
1181,2571,0.9996328983335467,1
877,2499,0.9999943857232686,1
1473,1508,0.9990381450086413,1
