i,j,kappa_forman
4,1549,-54131.71529167711
4,1613,-87441.77265417957
4,1617,-23117.099340679095
4,1647,-104030.94981257246
4,1649,-20776.127680527392
4,1678,-51345.29938173421
4,1716,-87320.12610988782
4,1797,-21554.436154788804
4,1806,-66113.59691955968
4,1829,-126823.94499134754
4,1854,-26454.948437647352
4,1988,-26997.544764995717
4,2010,-49333.270000401026
4,2011,-46506.0497161958
4,2031,-26079.528677314403
4,2140,-59467.37384868785
4,2266,-9140.083769010413
4,2324,-75709.46325853831
4,2331,-98987.93146092634
4,2337,-33459.60475423614
4,2340,-47721.52550042719
4,2360,-14920.198543823884
4,2361,-41816.83253515395
4,2590,-17981.117973072323
4,2615,-95645.56856945646
4,2629,-47545.26538004695
4,2657,-55498.53954637419
4,2695,-88591.27404196202
4,2793,-18866.50130204019
4,2903,-62486.60800808632
4,2917,-94186.83168677421
4,3051,-20942.944266413808
4,3093,-97021.3460364951
4,3211,-109337.74229890745
4,3236,-69342.97473256702
4,3305,-52066.60662517814
4,3360,-25601.185760711927
4,3502,-87818.98499953297
4,3541,-81762.17436680113
4,3565,-82575.55189619998
4,3624,-114872.85446852502
4,3876,-34157.94350377664
4,3880,-77057.8989106773
4,3970,-23236.45652190222
4,3972,-31578.930215340602
5,30,-68409.42614496735
5,95,-54751.76093716694
5,115,-47168.75904794582
5,141,-32200.793268464517
5,148,-81321.72131528106
5,155,-38473.6135872085
5,271,-35768.57043086759
5,294,-88581.13718837155
5,415,-123081.17563947492
5,433,-11382.211222607619
5,440,-50829.68576288793
5,636,-14652.541442714632
5,660,-22206.09622960819
5,753,-44279.94551858277
5,900,-123751.89497094712
5,954,-37056.05828199809
5,1050,-61192.430333351265
5,1115,-20318.879042803343
5,1117,-62768.115296113436
5,1152,-23032.997883895772
5,1163,-25477.343990391204
5,1354,-38004.48440937187
5,1395,-82297.44814005098
5,1411,-67969.53110916691
5,1511,-30550.70830665159
5,1544,-109739.36417769977
5,1605,-26262.609449352058
5,1629,-69081.9844714257
5,1714,-75653.80928877936
5,1768,-74377.54221287523
5,1777,-72811.27088676073
5,1779,-105686.67103817771
5,1880,-18752.94866157374
5,1888,-60168.28204247862
5,1936,-72418.97926675815
5,1973,-109286.56486987781
5,2008,-106412.13967308958
5,2035,-67844.28298869079
5,2066,-23064.25860858244
5,2075,-96396.93431654418
