node,kappa_forman_node,deg,deg_w
1906,-622.1795765567891,9,2.2670612730257718
1907,-604.3347808055722,7,0.9064898492530512
1908,-490.9784162343707,7,1.2045641906050104
1909,2.0,1,0.3821235325253662
1910,-2485.197151047702,16,2.721120009654771
1911,-708.2666286302906,8,0.9848125737918348
1912,-1295.177095195319,12,2.7619565599836657
1913,0.0,0,0.0
1914,-100.48791389266464,3,0.6165581861860912
1915,-8.276781260948937,1,0.07168450950341972
1916,-72.46835093230032,4,0.7855309734500238
1917,-2414.946151516188,15,2.32893612460499
1918,0.0,0,0.0
1919,-132.48691564055514,5,1.4448369250877198
1920,-4177.867591061539,22,4.437181929737547
1921,-1104.2198884250479,11,1.7536825227447672
1922,-663.3574374898468,8,1.7132939829425786
1923,-825.5119770480767,9,1.4768666057140079
1924,-2556.6003898728795,17,3.2106182907547494
1925,-320.3823354389686,6,0.8790566528927044
1926,-838.9033815298191,9,1.373507981859322
1927,-10.722675451162806,1,0.08291259090398785
1928,-133.47630373055523,4,1.0740494803009109
1929,-696.4774146854413,9,1.6477100721822981
1930,-85.08206440348755,3,0.6548300756865568
1931,-27.027538790581282,3,0.6865202471883671
1932,-739.2863598219398,9,1.6417502440259903
1933,-331.1920301210698,6,0.7808228087306275
1934,-314.164334827411,6,0.7738142836057582
1935,-1421.3373927902655,12,2.590287239949942
1936,-1955.515762196515,14,2.2365325273100063
1937,-901.994333463207,9,1.851865793136765
1938,-133.54923996190792,3,0.6068618778415243
1939,-15.58750195466953,1,0.5472775703739939
1940,-2359.905137096693,14,1.9116248690430018
1941,-1471.5857662975784,12,2.535691728463346
1942,-1397.7159023555791,11,2.2442924076626194
1943,-2631.718892759935,17,3.6902995360049635
1944,-755.5538682226909,9,1.9533415245885437
1945,0.0,0,0.0
1946,-1505.405119154327,13,2.454836869183401
1947,-522.270258723805,7,1.2952214143926648
1948,-32.08664128293363,2,0.38838284532777034
1949,-203.26032078875537,5,1.6163406802546056
1950,-2568.9669002602723,15,1.8115435839899359
1951,-39.89570181337897,2,0.15854845771786624
1952,-448.66266283427916,7,1.1238969250392161
1953,2.0,1,0.07145829269343258
1954,-198.4963068436615,5,0.939220751822523
1955,-203.67256286968586,5,1.172804793344012
1956,-1136.9107950117643,9,1.6277885968460524
1957,-2525.3257151404882,15,2.116606555075671
1958,0.0,0,0.0
1959,-1166.6618282269994,11,1.8250718064962288
1960,-1967.923160245511,14,2.7602617603530626
1961,-4766.12747681,21,3.093024811670406
1962,-1052.4335355707326,12,3.2640799267938547
1963,-1317.6052200054344,12,2.2471307398300886
1964,-3314.9733646584264,19,3.660297719535186
1965,-719.2132851193692,9,2.0098145243533287
1966,-6.47540262540152,1,0.1997821343089934
1967,-1496.0056720752755,13,3.9328589167379744
1968,-3112.2346600835376,19,5.313059089083537
1969,-398.9751724183206,6,1.161975464150485
1970,-248.33728181507587,4,0.7424583831951299
1971,-20.31308189697227,2,0.3114027201146873
1972,-2396.2619937388367,16,2.9874264947272766
1973,-3443.281024919073,18,3.2770969123009706
1974,-2470.0917948442375,16,3.2228370310244747
1975,-237.22807963360555,5,0.8342075515068506
1976,-613.1528138343974,8,1.6045041370290947
1977,-348.72108091019766,6,1.271268599913281
1978,-42.74516586772644,2,0.23600540825661803
1979,-2726.686114486761,16,2.594057536476264
1980,-132.99036453066194,4,0.596152591725273
1981,-534.103561024255,8,1.8113486376032697
1982,-5.092456625695263,2,0.41337752232769187
1983,-385.0446729761426,8,2.8083781040345084
1984,-1745.8786700663536,13,2.6853914194088144
1985,-4576.725600304302,20,3.0127398489989856
1986,-859.4198460932212,9,1.2377409024313795
1987,-2076.0609741026537,14,2.748548826684407
1988,-5110.233921268071,22,3.7971702557019924
1989,-598.010769857088,9,2.1397566407399213
1990,-313.79717451541666,5,0.6747914951194857
1991,-1960.7461527394244,13,2.1273869484000714
1992,-685.2637978133507,8,1.4336629273503383
1993,2.0,1,0.5210639807303927
1994,-3.6746070420035455,1,0.17379681774625097
1995,0.0,0,0.0
1996,-5.500525939289971,1,0.17623428989783965
1997,-517.3845299231943,7,0.8461971805995968
1998,-937.3273765237349,10,2.3556310957051085
1999,-896.2430269918409,8,1.4542487249888998
2000,-30.065569970716382,2,0.5311786495163084
2001,-327.1982097907565,6,0.99999640468337
2002,0.0,0,0.0
2003,-3688.258386876989,19,3.212843482559417
2004,-1391.5345869251878,12,2.5999064957374776
2005,-3710.274239764689,20,3.7178635632721373
2006,-234.78464605941556,5,1.3093062001095566
2007,-223.11769146959114,3,0.23372781983974159
2008,-2858.9816470794235,16,2.9955016246206116
2009,-25.493320430989467,2,0.5827026365417135
2010,-1591.869676507529,11,1.5113566423299842
2011,-4604.531422392183,22,4.164676693134964
2012,-2256.8248626808754,15,3.171584535856392
2013,-4471.3574600898255,20,3.1480395693940455
2014,-1079.6488607725566,9,1.58022458103127
2015,-290.50308616870944,6,1.7207794110362906
2016,-1717.612639660812,15,3.985008064794724
2017,-3856.0497222718386,21,5.0831825402053346
2018,-2473.6693416458693,17,2.89817861062638
2019,0.0,0,0.0
2020,-699.1501825345147,10,2.145508055327949
2021,-56.47754826322766,3,0.8382652774321637
2022,-1128.4197916556611,10,1.5275016304101399
2023,-393.0654731613972,7,1.6395812804104173
2024,-33.050384761536336,2,0.2010582870528469
2025,-3095.408438762926,16,2.652640520264979
2026,0.0,0,0.0
2027,-148.27012316216735,3,0.27152317087995387
2028,-833.064945463087,9,1.583264684512854
2029,-2813.7845537120475,17,3.4741835929920475
2030,-39.53526474884877,3,0.5803612707600803
2031,-3866.6075337525926,20,4.072536175559264
2032,-97.1193116820671,3,0.5926375339941568
2033,-218.6774265837853,5,0.9361947229313144
2034,-3900.6378189271118,22,5.105321140285267
2035,-3851.8336080853674,20,3.7451987805688405
2036,-450.85638965999374,7,1.265727855865685
2037,-60.228195396493675,2,0.21270138042690945
2038,-770.1788763250978,9,1.7332569976880268
2039,2.0,1,0.12207583317510765
2040,-840.2715273793831,9,1.6632703413313452
2041,-3104.6810564988027,17,3.245939280141835
2042,-64.56776805889692,3,0.6580467193719939
2043,-790.9059630510844,9,1.8188385528199713
2044,-42.298865330398264,2,0.701368336965654
2045,-608.3298357773626,9,2.6869842557401284
2046,-102.05041238025225,2,0.1724557275348854
2047,-538.7342000012171,7,1.2743290681804513
2048,-829.5958969980197,10,2.027943325070021
2049,0.0,0,0.0
2050,-864.8433207254898,9,1.2495153272083523
2051,-3751.4798717487583,19,3.0183888084370936
2052,-24.098677661372594,2,0.4663744473486576
2053,-828.2169698900823,9,1.2423824784873827
2054,-24.260313405447455,2,0.5971905551544074
2055,-278.6057722509112,6,1.0327501874038778
2056,-459.26195125301535,7,1.402128773525519
2057,-6523.249449220298,28,5.763585917470657
2058,-1134.570679904921,10,1.6353296286645715
2059,-4357.35407246516,21,4.003065105152265
2060,-118.89003623388166,4,0.6854368766367834
2061,-4.876237191270864,1,0.1403451530648501
2062,-5612.624362721197,26,5.5631904835190555
2063,-19.337910878208124,1,0.08433427530045902
2064,-12.660354640353042,1,0.10309162803417472
2065,-1700.6733136001021,14,3.63004969612256
2066,-1756.2135777979747,14,3.985450382422263
2067,-798.9124359302849,9,1.399883036631073
2068,0.0,0,0.0
2069,-982.7585990909627,10,1.640631432985159
2070,-558.5323614557401,7,1.4144886361523428
2071,0.0,0,0.0
2072,-1251.3095243103164,11,1.7513923004302148
2073,0.0,0,0.0
2074,2.0,1,0.14780676888345837
2075,-3142.5111939170665,18,3.153196984353261
2076,-57.27152715123879,3,0.48913467637163277
2077,-153.6327620096187,4,0.6299791696332696
2078,-809.2249510168422,8,1.0284896053861665
2079,-974.9735639313704,10,1.7740587143481252
2080,-1831.0826635640622,14,2.3467299453310084
2081,0.0,0,0.0
2082,-191.57344810142132,4,0.8223575970556815
2083,-1055.0172232217171,10,1.6974329053906363
2084,0.0,0,0.0
2085,-5078.464886088277,22,3.7044938255965123
2086,-30.879045468297623,1,0.09871289629375016
2087,-925.4351723357264,9,2.1617592086385105
2088,-3493.9469976856763,19,3.8952526068466296
2089,-65.17952687530776,3,0.7102272389868228
2090,-1023.6090538557064,9,1.4475534391798623
2091,-14.340083177621086,2,0.7005913349865124
2092,-1488.5593887640223,11,1.3748589723066549
2093,-539.7593316281486,7,1.255334758393056
2094,-547.9525943847361,9,2.5215272537311275
2095,-452.43695591856397,7,1.4206123140555662
2096,-670.6798871314998,8,1.4810394501960369
2097,-1386.3591958038578,10,1.5705042933827003
2098,-233.1143443786056,5,1.1078509607182814
2099,0.0,0,0.0
2100,-1293.4306362178584,12,2.2815014989034523
2101,-141.73039191928993,5,1.3407948088355726
2102,0.0,0,0.0
2103,-1484.6718051159842,13,2.9406810828857832
2104,-219.80151059248345,4,1.0585271888068744
2105,2.0,1,0.1707344795523349
2106,-3302.2205322918308,19,3.905415147852025
2107,-153.8846801716823,4,0.6039162218315572
2108,-340.40470756749835,5,0.5718880279522461
2109,0.0,0,0.0
2110,-138.8871916956111,4,0.6823405235891737
2111,-1595.9213291388187,11,1.3844925160862442
2112,-493.29514148361847,7,1.3800545529512545
2113,-227.0203187593376,4,0.5345986306505395
2114,-810.9860325096328,9,1.2078654151695698
2115,-3827.6113703106757,20,3.8698954101363237
2116,-404.9434869073795,7,1.6560806231114058
2117,-2152.536389540651,15,3.278052343683737
2118,-495.8548751390558,7,0.9811993969776307
2119,-1799.0683459867957,13,2.548720925330542
2120,-180.50056031343303,4,0.9367610322783946
