u,v,kappa_ollivier
2339,3833,0.2678206424501759
1582,2544,0.4074768617353395
857,2529,0.0
1523,2713,0.3252118243194473
2062,3710,0.4608816001991747
373,1759,0.28310804679150303
1482,2440,0.0
1503,2896,0.0
1181,2707,0.0
2914,3911,0.0
2542,3094,0.38663058105432135
532,3002,0.0
273,1693,0.4462339781281768
1193,3051,0.0
1137,1815,0.0
2079,3189,0.0
116,3232,0.26807278595923933
1213,2238,0.0
122,2675,0.0
637,2034,0.0
101,2140,0.0
1416,2929,0.0
3289,3334,0.0
2137,2208,0.0
1053,1237,0.0
1756,3608,0.0
1308,2507,0.0
963,4015,0.0
1887,1935,0.4511618052348366
1775,2785,0.0
1301,3702,0.0
1617,3051,0.33449158140832824
2935,2966,0.0
575,3480,0.0
1305,2354,0.0
396,2340,0.0
2828,4021,0.3521070869992118
2929,3594,0.0
3086,3820,0.0
1988,2590,0.4909344221297923
1028,2970,0.0
1897,3576,0.0
952,3461,0.30782795230116444
603,2329,0.0
988,3301,-0.553402130345499
1056,2953,0.0
1112,3381,0.5414536555686738
555,2057,0.0
1100,2101,0.0
1351,1943,0.4362843389341078
144,2424,0.0
637,2860,0.0
770,1805,0.0
878,2613,0.0
3333,3938,0.0
2669,2956,0.0
2059,3946,0.0
612,1373,0.0
2522,3544,0.0
2169,2692,0.0
2984,3856,0.30472687537988885
2816,3438,0.0
2634,3604,0.0
2652,4068,0.0
2972,3829,-0.3301441168610104
1003,1632,0.49117218088107584
2272,2972,1.1102230246251565e-16
1395,2698,0.0
1937,3128,0.0
906,4055,0.0
2939,3578,0.0
1339,2792,0.0
765,775,0.0
126,145,0.4339890986567507
2268,2974,0.5845442123945963
2360,2793,-0.2224797222030277
1153,2822,0.5106766227538365
285,2184,0.0
322,1099,0.0
3658,3922,0.0
2599,3346,0.0
1502,3798,0.0
98,132,0.0
1023,2685,0.0
896,3755,0.0
511,1513,0.0
1964,3545,0.0
173,3168,0.0
421,3175,0.0
643,3351,0.0
2658,3388,0.0
3668,3719,0.0
515,1502,-0.7428757141061937
1749,1968,0.3261013262444985
5,3944,0.4631606365634924
1117,2374,0.0
2595,3665,0.0
2760,2848,0.0
127,2089,0.0
2190,2317,0.5087909400614831
1613,2087,0.0
1172,1572,0.44552774267738493
150,3752,0.0
716,4048,0.0
958,1837,0.0
789,1917,0.0
1266,1786,0.0
1485,3473,0.0
143,1983,0.3155037961090469
28,886,0.0
1340,3449,0.0
294,415,0.0
1187,1335,0.0
68,3708,0.0
2695,2917,0.35810982872994424
292,3732,0.0
516,1683,0.0
2872,3482,0.0
1651,3698,0.0
1091,1625,0.0
927,3302,0.0
315,1578,0.5096450698293857
1797,3051,0.27429582838105504
515,3857,-0.3330132435730706
3024,3028,0.0
83,515,-0.2083950572892761
1878,2455,0.0
1563,2837,0.3116157881149785
927,1836,-0.17904761490585286
863,2029,0.0
3008,3532,0.0
2048,3828,0.0
2795,2810,0.0
3235,3340,0.0
2453,3108,0.2915969743184582
1026,3181,0.0
527,2884,0.0
2670,3449,0.0
957,3645,0.0
1693,2974,0.42837337015887045
1435,3126,0.0
966,2927,0.0
2941,3882,0.3532608822570602
2472,4054,0.0
2210,2797,0.0
1662,3527,0.0
2622,2930,0.0
320,3466,0.0
423,2611,0.0
197,3180,0.0
2043,2468,0.0
1684,4005,0.5133225826102403
276,2008,0.0
212,1423,0.49315074671099257
85,3287,0.4456999216108025
42,1368,0.38367329533265815
874,984,0.0
147,2391,0.0
1788,1983,0.33744947783836543
899,2653,0.0
2459,3406,0.5147271784768188
2688,2802,0.37328937067613177
273,2268,0.6062013730908339
49,245,0.0
3007,3924,0.0
713,2673,0.0
1306,1725,0.0
2569,3517,0.0
1403,3780,0.0
386,4003,0.0
159,1404,0.0
602,2972,1.1102230246251565e-16
1153,2148,0.44357939314109396
1757,3931,0.0
458,974,0.5067181156969537
372,3504,0.0
1417,2932,0.0
1081,3376,0.0
801,879,0.0
745,3446,0.0
2621,3000,0.0
454,3342,-0.15357507763752865
88,204,0.0
1381,3084,0.5889308457877895
100,2360,0.3054961771441099
2274,3239,0.0
3784,3999,0.0
636,1605,0.0
947,3791,0.0
253,3324,0.0
2417,2984,0.4263617733975096
95,753,0.3801495000440096
3936,3943,0.0
73,3411,0.0
312,2866,0.0
789,3793,0.0
2422,4043,0.0
2403,2727,0.4985337359167922
1371,2124,0.0
1617,1797,0.3459814283576449
143,1788,0.4585506745190403
1248,1382,0.0
2403,2551,0.7625924464568082
309,2368,0.35738577482606504
1779,2374,0.0
658,4021,0.37386040001671084
120,870,0.0
2598,3301,-0.01655948601365842
310,2775,0.0
2137,3264,0.0
2103,2260,0.0
1003,2941,0.16179499645681616
377,3040,0.5145644815987895
251,2117,0.0
2634,2828,-0.3477818289034451
3224,3974,0.0
1274,3147,0.0
2031,2340,0.0
100,1317,0.368554609207817
104,582,0.0
1401,2743,0.0
2003,2604,0.0
1366,2486,0.0
36,2857,0.0
2016,2265,0.0
471,2639,0.0
3189,3696,0.0
85,3478,0.42249853963368866
288,1648,0.0
1317,2360,0.33710343472334836
534,2917,0.0
596,2145,0.0
3692,3804,0.0
1983,2367,-0.18887168862879244
2,3501,0.0
2434,2470,0.0
863,2695,0.3743813792428099
1223,2040,0.0
596,735,0.0
824,4049,0.0
648,2129,0.0
2848,3133,0.0
2280,3378,0.0
2726,3319,0.0
455,4004,0.0
3867,3881,0.0
2186,3807,0.0
2551,2727,0.5227437429414266
32,642,0.0
729,2332,0.0
247,2170,0.0
2474,3756,0.0
778,3890,0.0
552,2120,0.0
89,3584,0.0
833,1011,0.0
346,3441,0.0
2368,2453,0.5570053308572274
1573,3488,0.0
4,2266,0.4474104306221528
2181,2563,0.0
1132,3882,0.40577692423969625
1984,2861,0.0
365,3624,0.0
1069,3218,0.0
381,952,0.41485758759808433
1509,3014,0.0
1246,3777,0.0
1797,2793,-0.3974316985674946
3167,3310,0.4743017559020988
754,3116,0.2063010117994737
2441,4064,0.0
471,1087,0.0
2104,3363,0.0
1021,2045,0.0
1749,2115,0.0
1361,2675,0.0
325,2207,0.0
1255,1442,0.0
172,2782,0.0
1473,3459,0.0
2209,2642,0.0
43,212,0.40405887619061365
3241,3262,0.0
680,4066,0.0
826,1594,0.0
2240,3964,0.0
3364,3781,0.0
1397,3364,0.420762917103328
458,489,0.4932818843030463
1693,3325,0.0
1852,2720,0.0
1610,3659,0.0
566,2162,0.0
400,2301,0.0
784,1192,0.0
3185,3277,0.0
180,2659,0.0
2125,2964,0.0
1411,3418,0.6150658515122986
3287,3478,0.5543000783891975
1258,2523,0.0
3158,3549,0.0
1375,3966,0.0
172,2705,0.0
1895,1941,0.0
2906,3886,0.0
175,1965,0.0
860,3673,0.0
1539,2140,0.0
1199,2544,0.4058286435743277
996,1949,0.0
3264,3456,0.0
249,576,0.0
2543,3856,0.0
374,2699,0.0
830,3959,0.0
658,2828,0.31252651141723087
1859,3771,0.0
1132,2941,0.2163618312405582
618,3257,0.0
2065,3418,0.3009980982307737
2317,3116,0.3918041682511688
309,2453,0.2915969743184581
343,2246,0.0
867,3651,0.0
1974,3738,0.0
282,2189,0.0
1616,4062,0.0
515,2748,-0.7010736450574773
1200,1282,0.0
3198,3714,0.0
1274,2972,-0.18444078465480995
1222,3903,0.0
3602,3654,0.0
208,3327,0.0
813,3848,0.0
43,3833,0.21877304986051282
662,3900,0.0
945,1465,0.0
1195,2465,0.0
269,3247,0.0
439,1626,0.0
677,833,0.0
1350,3270,0.0
